Nodo,Respuesta,Modelo_ID,Familia,Escenario,Observado,Predicho_LOOCV,Residuo_LOOCV
26,Macollas,M2_CE_original,M2,M2_CE_original,7.666666666666667,7.617407839182267,0.049258827484400136
27,Macollas,M2_CE_original,M2,M2_CE_original,7,9.097550312875068,-2.097550312875068
28,Macollas,M2_CE_original,M2,M2_CE_original,9.333333333333334,7.49055853279915,1.8427748005341842
29,Macollas,M2_CE_original,M2,M2_CE_original,9.333333333333334,7.873567685184155,1.4597656481491788
30,Macollas,M2_CE_original,M2,M2_CE_original,8.666666666666666,7.721759447980567,0.9449072186860992
31,Macollas,M2_CE_original,M2,M2_CE_original,9.333333333333334,8.727340237139291,0.6059930961940427
32,Macollas,M2_CE_original,M2,M2_CE_original,7,7.286110382340593,-0.28611038234059283
33,Macollas,M2_CE_original,M2,M2_CE_original,6.666666666666667,7.521287157260935,-0.854620490594268
34,Macollas,M2_CE_original,M2,M2_CE_original,7,7.907631632548633,-0.9076316325486333
35,Macollas,M2_CE_original,M2,M2_CE_original,7,6.002410635061217,0.9975893649387828
36,Macollas,M2_CE_original,M2,M2_CE_original,5.333333333333333,6.49240689986915,-1.1590735665358167
37,Macollas,M2_CE_original,M2,M2_CE_original,5,6.085496142979908,-1.085496142979908
38,Macollas,M2_CE_original,M2,M2_CE_original,4.666666666666667,4.905328273786003,-0.2386616071193357
39,Macollas,M2_CE_original,M2,M2_CE_original,6,4.934330886290021,1.065669113709979
40,Macollas,M2_CE_original,M2,M2_CE_original,5,5.907918404971509,-0.9079184049715092
41,Macollas,M2_CE_original,M2,M2_CE_original,7.666666666666667,6.73595645418442,0.9307102124822473
42,Macollas,M2_CE_original,M2,M2_CE_original,7.333333333333333,7.836703362097696,-0.5033700287643628
43,Macollas,M2_CE_original,M2,M2_CE_original,7.666666666666667,8.257510573769677,-0.59084390710301
44,Macollas,M2_CE_original,M2,M2_CE_original,7.666666666666667,7.354779970735733,0.31188669593093366
45,Macollas,M2_CE_original,M2,M2_CE_original,5,4.746870136614049,0.25312986338595067
46,Macollas,M2_CE_original,M2,M2_CE_original,4.666666666666667,4.4013496139541495,0.2653170527125175
47,Macollas,M2_CE_original,M2,M2_CE_original,5.333333333333333,4.559374145330728,0.7739591880026051
48,Macollas,M2_CE_original,M2,M2_CE_original,6.333333333333333,6.1615002908435175,0.17183304248981557
49,Macollas,M2_CE_original,M2,M2_CE_original,7,6.654283865684373,0.3457161343156274
50,Macollas,M2_CE_original,M2,M2_CE_original,4,7.615989624518992,-3.615989624518992
51,Macollas,M2_CE_original,M2,M2_CE_original,6,6.677119067215452,-0.6771190672154521
52,Macollas,M2_CE_original,M2,M2_CE_original,7.666666666666667,7.97860674612941,-0.31194007946274294
53,Macollas,M2_CE_original,M2,M2_CE_original,8.666666666666666,7.126976515609019,1.5396901510576475
54,Macollas,M2_CE_original,M2,M2_CE_original,9.666666666666666,8.485301687573898,1.181364979092768
55,Macollas,M2_CE_original,M2,M2_CE_original,10.666666666666666,7.915603565952594,2.751063100714072
56,Macollas,M2_CE_original,M2,M2_CE_original,8.333333333333334,8.503160253505428,-0.16982692017209366
1,Macollas,M2_CE_corregida,M2,M2_CE_corregida,8.666666666666666,8.429917845853574,0.23674882081309256
2,Macollas,M2_CE_corregida,M2,M2_CE_corregida,8.333333333333334,9.281510401221844,-0.9481770678885102
3,Macollas,M2_CE_corregida,M2,M2_CE_corregida,7.333333333333333,8.21803971260006,-0.8847063792667269
4,Macollas,M2_CE_corregida,M2,M2_CE_corregida,7.666666666666667,7.650813083177459,0.015853583489207956
5,Macollas,M2_CE_corregida,M2,M2_CE_corregida,8,7.239201441634288,0.7607985583657122
6,Macollas,M2_CE_corregida,M2,M2_CE_corregida,5.666666666666667,7.5080234039725156,-1.8413567373058486
7,Macollas,M2_CE_corregida,M2,M2_CE_corregida,6.666666666666667,5.568769800010045,1.0978968666566216
8,Macollas,M2_CE_corregida,M2,M2_CE_corregida,5.666666666666667,6.863388677668775,-1.196722011002108
9,Macollas,M2_CE_corregida,M2,M2_CE_corregida,4.666666666666667,6.228123617381218,-1.5614569507145513
10,Macollas,M2_CE_corregida,M2,M2_CE_corregida,6.333333333333333,5.130184817766651,1.2031485155666823
11,Macollas,M2_CE_corregida,M2,M2_CE_corregida,6,4.89170724016613,1.10829275983387
12,Macollas,M2_CE_corregida,M2,M2_CE_corregida,5.666666666666667,4.756841873308266,0.9098247933584007
13,Macollas,M2_CE_corregida,M2,M2_CE_corregida,7.666666666666667,6.434707626732958,1.2319590399337086
14,Macollas,M2_CE_corregida,M2,M2_CE_corregida,7.333333333333333,8.132804771585347,-0.7994714382520138
15,Macollas,M2_CE_corregida,M2,M2_CE_corregida,7.333333333333333,7.498339021142288,-0.16500568780895453
16,Macollas,M2_CE_corregida,M2,M2_CE_corregida,6.666666666666667,7.00347898955706,-0.33681232289039276
17,Macollas,M2_CE_corregida,M2,M2_CE_corregida,5.333333333333333,5.217215224871405,0.1161181084619276
18,Macollas,M2_CE_corregida,M2,M2_CE_corregida,6,5.782673292085532,0.2173267079144683
19,Macollas,M2_CE_corregida,M2,M2_CE_corregida,6,5.531104273365431,0.46889572663456924
20,Macollas,M2_CE_corregida,M2,M2_CE_corregida,5.666666666666667,5.231044918266546,0.4356217484001208
21,Macollas,M2_CE_corregida,M2,M2_CE_corregida,6.666666666666667,6.760607232005359,-0.09394056533869222
22,Macollas,M2_CE_corregida,M2,M2_CE_corregida,7,6.927662394316142,0.07233760568385783
23,Macollas,M2_CE_corregida,M2,M2_CE_corregida,6.333333333333333,6.965959964513647,-0.6326266311803144
24,Macollas,M2_CE_corregida,M2,M2_CE_corregida,6.333333333333333,7.582147630110981,-1.248814296777648
25,Macollas,M2_CE_corregida,M2,M2_CE_corregida,6.333333333333333,7.168984606638494,-0.8356512733051611
26,Macollas,M2_CE_corregida,M2,M2_CE_corregida,7.666666666666667,7.617407839182259,0.04925882748440813
27,Macollas,M2_CE_corregida,M2,M2_CE_corregida,7,9.097550312875054,-2.097550312875054
28,Macollas,M2_CE_corregida,M2,M2_CE_corregida,9.333333333333334,7.490558532799138,1.8427748005341957
29,Macollas,M2_CE_corregida,M2,M2_CE_corregida,9.333333333333334,7.873567685184149,1.459765648149185
30,Macollas,M2_CE_corregida,M2,M2_CE_corregida,8.666666666666666,7.72175944798056,0.9449072186861063
31,Macollas,M2_CE_corregida,M2,M2_CE_corregida,9.333333333333334,8.72734023713929,0.6059930961940445
32,Macollas,M2_CE_corregida,M2,M2_CE_corregida,7,7.286110382340617,-0.2861103823406168
33,Macollas,M2_CE_corregida,M2,M2_CE_corregida,6.666666666666667,7.521287157260927,-0.85462049059426
34,Macollas,M2_CE_corregida,M2,M2_CE_corregida,7,7.907631632548637,-0.9076316325486369
35,Macollas,M2_CE_corregida,M2,M2_CE_corregida,7,6.002410635061206,0.9975893649387944
36,Macollas,M2_CE_corregida,M2,M2_CE_corregida,5.333333333333333,6.492406899869151,-1.1590735665358176
37,Macollas,M2_CE_corregida,M2,M2_CE_corregida,5,6.085496142979937,-1.0854961429799372
38,Macollas,M2_CE_corregida,M2,M2_CE_corregida,4.666666666666667,4.90532827378598,-0.2386616071193126
39,Macollas,M2_CE_corregida,M2,M2_CE_corregida,6,4.934330886290004,1.0656691137099958
40,Macollas,M2_CE_corregida,M2,M2_CE_corregida,5,5.907918404971505,-0.9079184049715048
41,Macollas,M2_CE_corregida,M2,M2_CE_corregida,7.666666666666667,6.735956454184402,0.930710212482265
