grid_id,X,Y,CE_pred,CE_var,CE_corregida_pred,CE_corregida_var,Diferencia_prediccion,Relacion_varianzas
89,587190.3749415682,517552.59423547785,234.7937843595193,2643.484628638819,485.1218575896617,2287.82515764557,250.32807323014242,0.8654580899997952
90,587190.6629982904,517552.59423547785,235.66986846876725,2302.1654691484036,485.9368786364952,1992.4277297926367,250.26701016772793,0.8654580899997851
91,587190.9510550125,517552.59423547785,236.88393250163176,2207.0964704658036,487.06632240626914,1910.149495774594,250.18238990463738,0.8654580899997817
92,587191.2391117347,517552.59423547785,238.43812844488988,2397.328205453733,488.51219089228243,2074.7870897946013,250.07406244739255,0.8654580899997856
93,587191.5271684568,517552.59423547785,240.17355907732417,2752.586243127901,490.12666200963645,2382.248032537178,249.95310293231228,0.8654580899997926
94,587191.815225179,517552.59423547785,241.90168941522123,3144.009556947391,491.7343416629824,2721.0085060968163,249.83265224776116,0.8654580899998031
95,587192.1032819011,517552.59423547785,243.48306348532978,3509.8803322664126,493.2054939604048,3037.6543284911995,249.72243047507502,0.8654580899998133
96,587192.3913386234,517552.59423547785,244.82436695601896,3834.266772551384,494.4533085791873,3318.397197522113,249.62894162316834,0.8654580899998247
97,587192.6793953455,517552.59423547785,245.87021543713928,4120.8814590162465,495.4262614211739,3566.4501966359385,249.5560459840346,0.8654580899998361
98,587192.9674520676,517552.59423547785,246.60158457693092,4378.923605908023,496.1066541319224,3789.774860224399,249.5050695549915,0.8654580899998467
99,587193.2555087898,517552.59423547785,247.03355070355272,4616.617849654234,496.50851221951893,3995.489266421005,249.47496151596621,0.865458089999858
100,587193.5435655119,517552.59423547785,247.20811179465804,4839.083633106834,496.6709064025745,4188.024078458265,249.46279460791644,0.8654580899998685
101,587193.8316222341,517552.59423547785,247.18300448897236,5048.560133940073,496.64754907609534,4369.317210769309,249.464544587123,0.865458089999879
102,587194.1196789562,517552.59423547785,247.02001804954477,5245.555584374827,496.49592279149624,4539.808517041287,249.47590474195147,0.8654580899998885
103,587194.4077356784,517552.59423547785,246.7758319079421,5429.975303589295,496.26875642396345,4699.41605499101,249.49292451602136,0.8654580899998985
104,587194.6957924005,517552.59423547785,246.496539879422,5601.8207605970165,496.00893104983146,4848.141095988123,249.51239117040947,0.8654580899999076
105,587188.9346579574,517552.8822922,232.0469666779292,4560.531302437168,482.5664931004782,3946.948710391807,250.51952642254903,0.8654580899998515
