Nodo,Experimental_Unit,Treatment_ID,Treatment_base,Dose_percent,Omission_description,Replication,Macollas,Altura,Diametro,NDVI,Nitratos,Potasio_savia,Calcio_savia,X,Y,GLI_09_buffer_0_0m,GLI_09_buffer_0_5m,GLI_09_buffer_1_0m,GRVI_09_buffer_0_0m,GRVI_09_buffer_0_5m,GRVI_09_buffer_1_0m,GLI_14_buffer_0_0m,GLI_14_buffer_0_5m,GLI_14_buffer_1_0m,GRVI_14_buffer_0_0m,GRVI_14_buffer_0_5m,GRVI_14_buffer_1_0m,Delta_GLI_buffer_0_0m,Delta_GLI_buffer_0_5m,Delta_GLI_buffer_1_0m,Delta_GRVI_buffer_0_0m,Delta_GRVI_buffer_0_5m,Delta_GRVI_buffer_1_0m
27,L2_NODE_27,T1-A,T1,100,Completo,1,7,46.300000000000004,3.411111111111111,0.72,4000,4200,750,587212.65,517576,0.23288844097069364,0.24388646191474198,0.24388646191474198,0.09444247593989966,0.10234598766053635,0.10234598766053635,0.18285452378711908,0.1900572056457997,0.1900572056457997,0.08110219300948197,0.09007628796597238,0.09007628796597238,-0.050033917183574535,-0.05382925626894228,-0.05382925626894228,-0.013340282930417684,-0.01226969969456397,-0.01226969969456397
28,L2_NODE_28,T2-A,T2,100,Sin N,1,9.333333333333334,44.300000000000004,3.6222222222222222,0.7,3600,3200,1200,587214.441,517577,0.20963941695964056,0.20686945453830585,0.20686945453830585,0.08955634118930599,0.093841673198497,0.093841673198497,0.2032565690812387,0.1861309027155483,0.1861309027155483,0.08894625951149127,0.08601756934197603,0.08601756934197603,-0.006382847878401862,-0.02073855182275755,-0.02073855182275755,-6.100816778147207e-4,-0.007824103856520964,-0.007824103856520964
29,L2_NODE_29,T7-A,T7,100,Sin Zn,1,9.333333333333334,50.6,3.577777777777778,0.73,3600,4100,950,587215.987,517575,0.09157072647211378,0.07827704281955267,0.07827704281955267,0.017047025511500398,0.015705015661927967,0.015705015661927967,0.24647029033650225,0.2522019652124865,0.2522019652124865,0.1505269493480975,0.14743519478007042,0.14743519478007042,0.15489956386438847,0.17392492239293383,0.17392492239293383,0.13347992383659707,0.13173017911814244,0.13173017911814244
30,L2_NODE_30,T0-A,T0,100,Control,1,8.666666666666666,43.4,3.333333333333334,0.67,2200,3700,780,587214.196,517574,0.12944463028960998,0.13509923312830763,0.13509923312830763,0.028051432409572193,0.04887440685408801,0.04887440685408801,0.21250170343698271,0.22507785535874195,0.22507785535874195,0.07270708364538876,0.08156443524696733,0.08156443524696733,0.08305707314737273,0.08997862223043432,0.08997862223043432,0.04465565123581658,0.032690028392879315,0.032690028392879315
31,L2_NODE_31,T5-A,T5,100,Sin Mg y S,1,9.333333333333334,44.6,3.488888888888889,0.69,5800,4600,1000,587212.086,517572,-0.003625161039921142,-0.012468364584967565,-0.012468364584967565,-0.052210680321191395,-0.05613954777682484,-0.05613954777682484,0.22136471659954288,0.23113061723546946,0.23113061723546946,0.09510498638239481,0.09581168287763309,0.09581168287763309,0.22498987763946401,0.24359898182043702,0.24359898182043702,0.14731566670358626,0.15195123065445792,0.15195123065445792
32,L2_NODE_32,T4-B,T4,75,Sin K,1,7,44.5,3.077777777777778,0.67,5200,4200,1300,587210.117,517570,0.21982832710125075,0.20915165506837444,0.20915165506837444,0.12376297654827319,0.12108933833248886,0.12108933833248886,0.26617328262295553,0.30085845909502934,0.30085845909502934,0.10527814150754791,0.12140846336673636,0.12140846336673636,0.04634495552170479,0.0917068040266549,0.0917068040266549,-0.018484835040725255,3.1912503424749716e-4,3.1912503424749716e-4
33,L2_NODE_33,T8-B,T8,75,Sin Mn,1,6.666666666666667,40.800000000000004,3.0444444444444443,0.68,5200,4700,1400,587208.007,517569,0.014680207063531767,0.017978223907339563,0.017978223907339563,-0.06755183380618819,-0.06542544543478633,-0.06542544543478633,0.20605089767644844,0.19833366049881013,0.19833366049881013,0.10219983493611433,0.09584979920963793,0.09584979920963793,0.19137069061291667,0.18035543659147057,0.18035543659147057,0.16975166874230252,0.16127524464442428,0.16127524464442428
34,L2_NODE_34,T11-B,T11,75,Sin Mo,1,7,42.06666666666666,3.2222222222222228,0.69,5800,4400,1500,587206.075,517567,0.11186204685501573,0.10876376095585194,0.10876376095585194,-0.007927816285566113,-0.01089384946942173,-0.01089384946942173,0.2463372003319153,0.25229832417514364,0.25229832417514364,0.11993463665659712,0.11749451222285937,0.11749451222285937,0.13447515347689956,0.1435345632192917,0.1435345632192917,0.12786245294216322,0.1283883616922811,0.1283883616922811
35,L2_NODE_35,T1-A,T1,100,Completo,2,7,41.96666666666667,3.077777777777778,0.7,5600,4300,1700,587204.105,517565,0.03979109932467914,0.041423007145366814,0.041423007145366814,-0.06663072448328572,-0.06670684113457324,-0.06670684113457324,0.16137059088416994,0.16567196333526818,0.16567196333526818,0.047076636888702686,0.036942627325131185,0.036942627325131185,0.12157949155949077,0.12424895618990137,0.12424895618990137,0.11370736137198842,0.10364946845970444,0.10364946845970444
36,L2_NODE_36,T7-A,T7,100,Sin Zn,2,5.333333333333333,47.46666666666666,3.211111111111111,0.7,4500,5000,1600,587202.04,517564,0.08823890461782986,0.09513162033595955,0.09513162033595955,-0.002970203746222715,0.01634998647580838,0.01634998647580838,0.21650080492612642,0.20165766168955182,0.20165766168955182,0.1461491106727178,0.14087198278556984,0.14087198278556984,0.1282619003082966,0.10652604135359227,0.10652604135359227,0.1491193144189405,0.12452199630976146,0.12452199630976146
