Nodo,Variable,Buffer_m,Valor
49,GLI_09,1,0.22627692208176076
50,GLI_09,1,0.14985278178005443
51,GLI_09,1,0.1721531573228191
52,GLI_09,1,0.09533657114747258
53,GLI_09,1,0.21371258147979896
54,GLI_09,1,0.14594835226873323
55,GLI_09,1,0.23265353816424783
56,GLI_09,1,0.23250939363009027
1,GRVI_09,0,-0.070358883077111245
2,GRVI_09,0,0.020800091219272225
3,GRVI_09,0,-0.11327257750900387
4,GRVI_09,0,-0.032767745245990285
5,GRVI_09,0,-0.0585270600790404
6,GRVI_09,0,-0.0876974146306447
7,GRVI_09,0,-0.06060755300104555
8,GRVI_09,0,-0.0552141338587705
9,GRVI_09,0,-0.08235984280041374
10,GRVI_09,0,-0.06872142976258128
11,GRVI_09,0,-0.0744929822377425
12,GRVI_09,0,0.11120875362215957
13,GRVI_09,0,-0.08031035696429853
14,GRVI_09,0,0.026428675874341872
15,GRVI_09,0,0.08959964201383813
16,GRVI_09,0,0.11547452583277433
17,GRVI_09,0,0.012993358005844197
18,GRVI_09,0,-0.06934890734357359
19,GRVI_09,0,-0.02315682293610692
20,GRVI_09,0,0.1128100151855204
21,GRVI_09,0,-0.058000917005749074
22,GRVI_09,0,-0.05852807208006782
23,GRVI_09,0,0.12444234095056989
24,GRVI_09,0,0.09394652405809963
25,GRVI_09,0,0.11763356935959254
26,GRVI_09,0,-0.007436138054780939
27,GRVI_09,0,0.09444247593989966
28,GRVI_09,0,0.08955634118930599
29,GRVI_09,0,0.017047025511500398
30,GRVI_09,0,0.028051432409572193
31,GRVI_09,0,-0.052210680321191395
32,GRVI_09,0,0.12376297654827319
33,GRVI_09,0,-0.06755183380618819
34,GRVI_09,0,-0.007927816285566113
35,GRVI_09,0,-0.06663072448328572
36,GRVI_09,0,-0.002970203746222715
37,GRVI_09,0,-0.12137685223964939
38,GRVI_09,0,-0.02501349603431206
39,GRVI_09,0,-0.10759734958288406
40,GRVI_09,0,-0.11360846764869162
41,GRVI_09,0,-0.08017647569274458
42,GRVI_09,0,-0.1273759680839367
43,GRVI_09,0,3.9226525587065337e-4
44,GRVI_09,0,0.033998018603611325
45,GRVI_09,0,0.01685520237257832
46,GRVI_09,0,0.03115327436976391
47,GRVI_09,0,-0.038128524589432125
48,GRVI_09,0,0.0025976098804000383
49,GRVI_09,0,0.042224906097497815
50,GRVI_09,0,-0.007349275208101587
51,GRVI_09,0,0.02706285190245424
52,GRVI_09,0,-0.04989063299710346
53,GRVI_09,0,0.03407478317458929
54,GRVI_09,0,0.02473517509529485
55,GRVI_09,0,0.012530183513484706
56,GRVI_09,0,0.03221732656014917
1,GRVI_09,0.5,-0.07122167349949231
2,GRVI_09,0.5,0.01620556737541202
3,GRVI_09,0.5,-0.1167870900374383
4,GRVI_09,0.5,-0.022566458667691316
5,GRVI_09,0.5,-0.05941504411767288
6,GRVI_09,0.5,-0.0874598215649118
7,GRVI_09,0.5,-0.059120539920805924
8,GRVI_09,0.5,-0.05871172201015013
9,GRVI_09,0.5,-0.07770303834868854
10,GRVI_09,0.5,-0.06317100736111139
11,GRVI_09,0.5,-0.07410789097584643
12,GRVI_09,0.5,0.10855585365139742
13,GRVI_09,0.5,-0.08987336515142738
14,GRVI_09,0.5,0.009154139550536736
15,GRVI_09,0.5,0.0886606707906253
16,GRVI_09,0.5,0.11957468278248316
17,GRVI_09,0.5,0.007354473140682488
18,GRVI_09,0.5,-0.06981917907833483
19,GRVI_09,0.5,-0.020454969888242542
20,GRVI_09,0.5,0.11489383600636094
21,GRVI_09,0.5,-0.057637774164503705
22,GRVI_09,0.5,-0.05894718693287273
23,GRVI_09,0.5,0.12159991893970211
24,GRVI_09,0.5,0.09638176826142783
25,GRVI_09,0.5,0.11438734856999666
26,GRVI_09,0.5,-1.3791835233541744e-4
27,GRVI_09,0.5,0.10234598766053635
28,GRVI_09,0.5,0.093841673198497
29,GRVI_09,0.5,0.015705015661927967
30,GRVI_09,0.5,0.04887440685408801
31,GRVI_09,0.5,-0.05613954777682484
32,GRVI_09,0.5,0.12108933833248886
33,GRVI_09,0.5,-0.06542544543478633
34,GRVI_09,0.5,-0.01089384946942173
35,GRVI_09,0.5,-0.06670684113457324
36,GRVI_09,0.5,0.01634998647580838
37,GRVI_09,0.5,-0.11876654708681395
38,GRVI_09,0.5,-0.028945664590297845
39,GRVI_09,0.5,-0.11058629225536516
40,GRVI_09,0.5,-0.11016312882811972
41,GRVI_09,0.5,-0.0701036348603267
42,GRVI_09,0.5,-0.13948236054510024
43,GRVI_09,0.5,-0.0030134899622400596
44,GRVI_09,0.5,0.02280012590154371
45,GRVI_09,0.5,0.01477637371549156
46,GRVI_09,0.5,0.02887773789078553
47,GRVI_09,0.5,-0.043744783938467126
48,GRVI_09,0.5,9.983008683151948e-4
49,GRVI_09,0.5,0.04097435369396593
50,GRVI_09,0.5,-0.010629533696378032
51,GRVI_09,0.5,0.022798524370173195
52,GRVI_09,0.5,-0.049163168420691974
53,GRVI_09,0.5,0.0332234465390913
54,GRVI_09,0.5,0.024085832487675114
55,GRVI_09,0.5,0.019037296130475053
56,GRVI_09,0.5,0.03280453924137165
1,GRVI_09,1,-0.07122167349949231
2,GRVI_09,1,0.01620556737541202
3,GRVI_09,1,-0.1167870900374383
4,GRVI_09,1,-0.022566458667691316
5,GRVI_09,1,-0.05941504411767288
6,GRVI_09,1,-0.0874598215649118
7,GRVI_09,1,-0.059120539920805924
8,GRVI_09,1,-0.05871172201015013
9,GRVI_09,1,-0.07770303834868854
10,GRVI_09,1,-0.06317100736111139
11,GRVI_09,1,-0.07410789097584643
12,GRVI_09,1,0.10855585365139742
13,GRVI_09,1,-0.08987336515142738
14,GRVI_09,1,0.009154139550536736
15,GRVI_09,1,0.0886606707906253
16,GRVI_09,1,0.11957468278248316
17,GRVI_09,1,0.007354473140682488
18,GRVI_09,1,-0.06981917907833483
19,GRVI_09,1,-0.020454969888242542
20,GRVI_09,1,0.11489383600636094
21,GRVI_09,1,-0.057637774164503705
22,GRVI_09,1,-0.05894718693287273
23,GRVI_09,1,0.12159991893970211
24,GRVI_09,1,0.09638176826142783
25,GRVI_09,1,0.11438734856999666
26,GRVI_09,1,-1.3791835233541744e-4
27,GRVI_09,1,0.10234598766053635
28,GRVI_09,1,0.093841673198497
29,GRVI_09,1,0.015705015661927967
30,GRVI_09,1,0.04887440685408801
31,GRVI_09,1,-0.05613954777682484
32,GRVI_09,1,0.12108933833248886
33,GRVI_09,1,-0.06542544543478633
34,GRVI_09,1,-0.01089384946942173
35,GRVI_09,1,-0.06670684113457324
36,GRVI_09,1,0.01634998647580838
