Variable_UAV,Variable_cultivo,n,Pearson,Spearman
Delta_GRVI_buffer_1_0m,Macollas,56,-0.13378941607182537,-0.10442643982404644
Delta_GRVI_buffer_1_0m,NDVI,56,-0.03802505955820694,-0.05200190948339202
Delta_GRVI_buffer_1_0m,Nitratos,56,-0.09150202859764464,-0.09497254293222936
Delta_GRVI_buffer_1_0m,Potasio_savia,56,0.26540643490815574,0.19663137989333276
GLI_09_buffer_0_0m,Altura,56,0.09206130041514536,0.030076215882769926
GLI_09_buffer_0_0m,Calcio_savia,56,-0.14582812412811558,-0.13661788328530158
GLI_09_buffer_0_0m,Diametro,56,-0.09496684695241295,-0.07096708233126238
GLI_09_buffer_0_0m,Macollas,56,0.1678557832439467,0.16075363635421985
GLI_09_buffer_0_0m,NDVI,56,0.16949726298706358,0.17630760650298602
GLI_09_buffer_0_0m,Nitratos,56,4.321955233854043e-4,-0.036517370561689626
GLI_09_buffer_0_0m,Potasio_savia,56,-0.11033674506448567,-0.075028136925611
GLI_09_buffer_0_5m,Altura,56,0.08146038309150613,0.042961140187092954
GLI_09_buffer_0_5m,Calcio_savia,56,-0.14737297465529564,-0.1341825657574943
GLI_09_buffer_0_5m,Diametro,56,-0.09222622852505846,-0.05787440770078383
GLI_09_buffer_0_5m,Macollas,56,0.1668797910178243,0.16325630546359457
GLI_09_buffer_0_5m,NDVI,56,0.17655664544849073,0.19328357961881684
GLI_09_buffer_0_5m,Nitratos,56,-0.0031111845037618477,-0.02498376805064052
GLI_09_buffer_0_5m,Potasio_savia,56,-0.10702641294043029,-0.06109335943622488
GLI_09_buffer_1_0m,Altura,56,0.08146038309150613,0.042961140187092954
GLI_09_buffer_1_0m,Calcio_savia,56,-0.14737297465529564,-0.1341825657574943
GLI_09_buffer_1_0m,Diametro,56,-0.09222622852505846,-0.05787440770078383
GLI_09_buffer_1_0m,Macollas,56,0.1668797910178243,0.16325630546359457
GLI_09_buffer_1_0m,NDVI,56,0.17655664544849073,0.19328357961881684
GLI_09_buffer_1_0m,Nitratos,56,-0.0031111845037618477,-0.02498376805064052
GLI_09_buffer_1_0m,Potasio_savia,56,-0.10702641294043029,-0.06109335943622488
GLI_14_buffer_0_0m,Altura,56,0.3480484667505635,0.32085853944027737
GLI_14_buffer_0_0m,Calcio_savia,56,0.04489604767886668,0.03368284242685568
GLI_14_buffer_0_0m,Diametro,56,0.21992742193208317,0.054763615556205375
GLI_14_buffer_0_0m,Macollas,56,0.03309189004289035,-0.012170514162027735
GLI_14_buffer_0_0m,NDVI,56,0.11055613181412526,0.09371430056800494
GLI_14_buffer_0_0m,Nitratos,56,-0.13335245379108343,-0.1804991680809289
GLI_14_buffer_0_0m,Potasio_savia,56,0.23871301931357453,0.24557471166639833
GLI_14_buffer_0_5m,Altura,56,0.31382382427271865,0.28391264242973835
GLI_14_buffer_0_5m,Calcio_savia,56,0.0343641602827225,0.06029983399838318
GLI_14_buffer_0_5m,Diametro,56,0.28861954128013045,0.042628107739443255
GLI_14_buffer_0_5m,Macollas,56,-0.01981987814351423,-0.0540987925286754
GLI_14_buffer_0_5m,NDVI,56,0.06983433407129895,0.08855221894706863
GLI_14_buffer_0_5m,Nitratos,56,-0.12861282884965272,-0.1162600822849669
GLI_14_buffer_0_5m,Potasio_savia,56,0.2367673496345802,0.26249551290351003
GLI_14_buffer_1_0m,Altura,56,0.31382382427271865,0.28391264242973835
GLI_14_buffer_1_0m,Calcio_savia,56,0.0343641602827225,0.06029983399838318
GLI_14_buffer_1_0m,Diametro,56,0.28861954128013045,0.042628107739443255
GLI_14_buffer_1_0m,Macollas,56,-0.01981987814351423,-0.0540987925286754
GLI_14_buffer_1_0m,NDVI,56,0.06983433407129895,0.08855221894706863
GLI_14_buffer_1_0m,Nitratos,56,-0.12861282884965272,-0.1162600822849669
GLI_14_buffer_1_0m,Potasio_savia,56,0.2367673496345802,0.26249551290351003
GRVI_09_buffer_0_0m,Altura,56,0.14952562846659148,0.1124782118979498
GRVI_09_buffer_0_0m,Calcio_savia,56,-0.10521983463314817,-0.11267631096967505
GRVI_09_buffer_0_0m,Diametro,56,-0.020617043165293603,0.0060164771147891045
GRVI_09_buffer_0_0m,Macollas,56,0.11794800688199382,0.14025231954043793
GRVI_09_buffer_0_0m,NDVI,56,0.1630709379634534,0.2176735491566636
GRVI_09_buffer_0_0m,Nitratos,56,0.0488122561658777,0.03634624886271264
GRVI_09_buffer_0_0m,Potasio_savia,56,-0.07501178726884355,-0.028555997219628707
GRVI_09_buffer_0_5m,Altura,56,0.1353979950269931,0.10834273221406893
GRVI_09_buffer_0_5m,Calcio_savia,56,-0.12800010040381635,-0.152910500548801
GRVI_09_buffer_0_5m,Diametro,56,-0.019651305416471834,0.01678460376909915
GRVI_09_buffer_0_5m,Macollas,56,0.12347850984017604,0.14323495258859686
GRVI_09_buffer_0_5m,NDVI,56,0.15173290734511602,0.21396655094565564
GRVI_09_buffer_0_5m,Nitratos,56,0.03095074545258201,0.029706726942405434
GRVI_09_buffer_0_5m,Potasio_savia,56,-0.07840381208947657,-0.016268681108298086
GRVI_09_buffer_1_0m,Altura,56,0.1353979950269931,0.10834273221406893
GRVI_09_buffer_1_0m,Calcio_savia,56,-0.12800010040381635,-0.152910500548801
