Nodo,Treatment_ID,Dose_percent,Omission_description,Replication,Observado,Ajustado,Residuo,Residuo_estudentizado,Leverage,Cook,Variable,Modelo,X,Y,n_modelo,umbral_cook,umbral_leverage,Flag_Cook,Flag_Leverage,Flag_Residuo,Influyente
2,T6-A,D100,Sin Fe,1,39.13333333333333,42.96388888888887,-3.8305555555555344,-0.8719754196304881,0.04166666666666666,0.011019436702025584,Altura,M0_Bloque,587211.104,517578,56,0.07142857142857142,0.10714285714285714,FALSE,FALSE,FALSE,FALSE
3,T10-A,D100,Sin Cu,1,39.9,42.96388888888887,-3.0638888888888687,-0.6974538708139433,0.04166666666666666,0.007049882636425396,Altura,M0_Bloque,587208.994,517576,56,0.07142857142857142,0.10714285714285714,FALSE,FALSE,FALSE,FALSE
4,T3-B,D75,Sin P,1,48.333333333333336,42.96388888888887,5.3694444444444684,1.2222831661680449,0.041666666666666664,0.02165182809127217,Altura,M0_Bloque,587207.025,517574,56,0.07142857142857142,0.10714285714285714,FALSE,FALSE,FALSE,FALSE
5,T1-B,D75,Completo,1,46.5,42.96388888888887,3.5361111111111327,0.8049490276936994,0.041666666666666664,0.009390477350507707,Altura,M0_Bloque,587204.915,517572,56,0.07142857142857142,0.10714285714285714,FALSE,FALSE,FALSE,FALSE
6,T2-B,D75,Sin N,1,44.43333333333334,42.96388888888887,1.4694444444444699,0.3344996352317115,0.041666666666666664,0.001621594289422435,Altura,M0_Bloque,587202.983,517570,56,0.07142857142857142,0.10714285714285714,FALSE,FALSE,FALSE,FALSE
7,T10-A,D100,Sin Cu,2,44.699999999999996,43.98888888888887,0.7111111111111228,0.16187505977186617,0.04166666666666666,3.797613764658729e-4,Altura,M0_Bloque,587201.014,517569,56,0.07142857142857142,0.10714285714285714,FALSE,FALSE,FALSE,FALSE
8,T4-A,D100,Sin K,2,42.63333333333333,43.98888888888887,-1.35555555555554,-0.3085743326901219,0.04166666666666666,0.0013799727361616517,Altura,M0_Bloque,587198.948,517567,56,0.07142857142857142,0.10714285714285714,FALSE,FALSE,FALSE,FALSE
9,T0-A,D100,Control,2,46.46666666666667,43.98888888888887,2.4777777777777956,0.5640334113926002,0.04166666666666666,0.004610633176335855,Altura,M0_Bloque,587197.023,517566,56,0.07142857142857142,0.10714285714285714,FALSE,FALSE,FALSE,FALSE
10,T3-B,D75,Sin P,2,48.800000000000004,43.98888888888887,4.811111111111131,1.0951859512690398,0.04166666666666666,0.017383076345754648,Altura,M0_Bloque,587194.69,517564,56,0.07142857142857142,0.10714285714285714,FALSE,FALSE,FALSE,FALSE
11,T8-B,D75,Sin Mn,2,41.13333333333333,43.98888888888887,-2.85555555555554,-0.6500295368964042,0.04166666666666666,0.006123744910692079,Altura,M0_Bloque,587193.167,517562,56,0.07142857142857142,0.10714285714285714,FALSE,FALSE,FALSE,FALSE
12,T7-B,D75,Sin Zn,2,47.86666666666667,43.98888888888887,3.877777777777794,0.8827249353184633,0.04166666666666666,0.011292801614970795,Altura,M0_Bloque,587191.101,517561,56,0.07142857142857142,0.10714285714285714,FALSE,FALSE,FALSE,FALSE
13,T0-A,D100,Control,3,44.333333333333336,52.31249999999998,-7.979166666666643,-1.9008781755785342,0.125,0.172063706590037,Altura,M0_Bloque,587189.132,517559,56,0.07142857142857142,0.10714285714285714,TRUE,TRUE,FALSE,TRUE
14,T11-A,D100,Sin Mo,3,62.333333333333336,52.31249999999998,10.020833333333357,2.387264758363643,0.125,0.2713825250726201,Altura,M0_Bloque,587187.054,517557,56,0.07142857142857142,0.10714285714285714,TRUE,TRUE,TRUE,TRUE
15,T8-A,D100,Sin Mn,3,56.666666666666664,52.31249999999998,4.354166666666686,1.0372938347151788,0.125,0.05123707140657718,Altura,M0_Bloque,587188.6,517555,56,0.07142857142857142,0.10714285714285714,FALSE,TRUE,FALSE,TRUE
16,T10-A,D100,Sin Cu,3,45.333333333333336,52.31249999999998,-6.979166666666643,-1.6626480125817467,0.125,0.13163801970200154,Altura,M0_Bloque,587190.678,517557,56,0.07142857142857142,0.10714285714285714,TRUE,TRUE,FALSE,TRUE
17,T1-B,D75,Completo,2,37.6,43.98888888888887,-6.3888888888888715,-1.4543462401378688,0.04166666666666666,0.03065395632178484,Altura,M0_Bloque,587192.647,517559,56,0.07142857142857142,0.10714285714285714,FALSE,FALSE,FALSE,FALSE
