Nodo,Variable_suelo,Prediccion,Varianza_kriging,Error_estandar_kriging
24,K,52.566904640460635,140.96773339407463,11.872983340090839
25,K,50.507535519646744,133.4549358379292,11.552269726678356
26,K,57.3018633136179,119.74076225877583,10.942612222809316
27,K,70.29822852883609,110.14644012378682,10.495067418734708
28,K,66.53310510692116,131.78532428495944,11.479778930143187
29,K,65.97664102156239,83.32896234140549,9.128469879525564
30,K,57.024401066147774,107.47193554382602,10.36686720006705
31,K,52.72037646258289,91.84539176885431,9.583600146544843
32,K,37.89851268036552,71.29715182690693,8.443764079301774
33,K,47.93557930942905,113.10315454530321,10.634996687601891
34,K,41.43281521066445,91.13597871606545,9.54651657496416
35,K,61.14814020345857,71.2932240412057,8.443531491100492
36,K,51.98373933827696,110.70750159598765,10.521763236073488
37,K,25.5489102087029,87.3684061448908,9.347106832859609
38,K,43.42859168005735,95.41521488528426,9.768071195752222
39,K,48.48168930321162,101.34431180045952,10.066991198985898
40,K,42.694481335514574,81.20758393785064,9.01152506171129
41,K,49.5427734555225,57.649661850715766,7.592737441181261
42,K,45.30510053468727,113.92431238179059,10.673533266064737
43,K,47.60023961859808,160.52916232742947,12.67001035230159
44,K,49.33806394464203,187.47902197326397,13.692297906971787
45,K,48.39161924588045,173.8365818018803,13.184710152365136
46,K,51.26088032070851,161.20357786906442,12.69659709800482
47,K,46.90070074451129,174.1480436434555,13.196516344984971
48,K,37.6826563287205,170.1801781650158,13.04531249779076
49,K,53.17385740973218,151.13521815187133,12.293706444838811
50,K,55.73599966372686,183.3012459553543,13.538879050916819
51,K,46.51699711271385,167.76385660792084,12.952368764358157
52,K,44.98154834421699,148.564612161429,12.18870838774269
53,K,40.1047884150544,136.29384782569568,11.674495613331468
54,K,47.82461431167745,167.18424381504087,12.929974625460055
55,K,52.057169240358554,155.71810875092112,12.47870621302229
56,K,61.612798291081795,135.52397961246416,11.641476693807542
1,pH,8.360371652669484,0.10753822799573975,0.32793021818023993
2,pH,8.217142527949312,0.1945827871281296,0.44111538981102166
3,pH,8.231251924454888,0.14252078878032265,0.37751925617155296
4,pH,7.42520932324566,0.0887557093911248,0.29791896447041566
5,pH,7.0918728539374545,0.06780519653490867,0.26039430972067856
6,pH,8.352391409188108,0.04285472030936893,0.20701381671127397
7,pH,7.1257731622419325,0.08729646668484242,0.29545975476338976
8,pH,8.676340309296256,0.0620957980755732,0.24919028487397576
9,pH,8.355867033529973,0.13200891125200243,0.3633303059916726
10,pH,7.019653100617845,0.1269132792905222,0.3562489007569318
11,pH,6.212117508429258,0.03792079378684103,0.19473262127039997
12,pH,6.534018154170608,0.12016837546369136,0.34665310537148136
13,pH,6.823911223043582,0.06965422760923175,0.26392087376566437
14,pH,7.041364067333705,0.09440831657535574,0.30725936369027995
15,pH,6.8348240819865955,0.16883950241926216,0.4109008425633393
16,pH,6.543405977416025,0.10511214988089555,0.32421003975956014
17,pH,7.150641894744437,0.08266762266156864,0.2875197778615736
18,pH,6.911888973434174,0.12552230299596245,0.3542912685855558
19,pH,6.619416589371271,0.09523958868991383,0.30860911958319354
20,pH,8.618405408688286,0.07685162960927845,0.27722126471336656
21,pH,9.06164002492853,0.12460827222474491,0.35299896915535733
22,pH,6.798711077414722,0.09953619464799149,0.31549357306923304
23,pH,8.670240740899265,0.07321870989120405,0.27058955983408534
24,pH,7.066919836938569,0.12317119349763457,0.35095753802651763
25,pH,7.020968261576204,0.09834079767673569,0.3135933635725343
26,pH,8.589729757483079,0.07235294126004778,0.26898502051238427
27,pH,8.532817089257899,0.0617461504124473,0.24848772688494555
28,pH,8.598419743679832,0.09754512060893153,0.3123221423609468
29,pH,8.54937924767802,0.03623366882918804,0.19035143505943958
30,pH,8.67311239861547,0.058172761496370955,0.24119030141440378
31,pH,8.693843336757977,0.037170982038316286,0.19279777498279457
32,pH,6.6933551093884605,0.021107515429940063,0.14528425733691885
33,pH,6.6013683990650165,0.06294697880625393,0.2508923649819857
34,pH,8.638052762327872,0.03648089119631348,0.19099971517338313
35,pH,6.680445520543301,0.021249064455265962,0.14577058844384885
36,pH,8.667666223947801,0.05977627055868743,0.24449186194777
37,pH,8.567286987597425,0.032899286708871635,0.18138160521086927
38,pH,6.631368433301368,0.046424653721249286,0.21546381069973047
39,pH,7.475420374491737,0.05009628070920871,0.22382198441888748
40,pH,8.317815276870693,0.027632369322055005,0.16622986892269093
41,pH,6.493447803874131,0.012980517846946267,0.11393207558429833
42,pH,6.616224100728196,0.059133812618968995,0.2431744489434879
43,pH,6.934701451703636,0.1815646284763332,0.42610401133565173
44,pH,6.841660356244952,0.3335715012621712,0.5775564918362283
45,pH,8.450982683866304,0.2624590857263135,0.5123076084993404
46,pH,8.133049562655302,0.2082314918700293,0.4563238892168909
