Nodo,X,Y,Variable,Escenario,Valor,Gi_estrella,Perm_Q025,Perm_Q975,p_Monte_Carlo_informativo,Clase_Gi
16,587190.678,517557,Altura,Residual_ajustado,-5.551666666666668,-1.8770517542601852,-1.989319911282632,1.7795083108082275,0.052,Sin_clasificar
17,587192.647,517559,Altura,Residual_ajustado,-7.1301388888888955,-1.0818768290521155,-1.8058996965093024,1.9416021787981035,0.258,Sin_clasificar
18,587194.713,517560,Altura,Residual_ajustado,2.756527777777774,-0.9405707424847768,-1.9232606622257973,1.8674871700538707,0.29,Sin_clasificar
19,587196.236,517562,Altura,Residual_ajustado,0.25652777777777636,0.40045700616760704,-2.0635064482388525,1.7951426949336122,0.762,Sin_clasificar
20,587198.569,517564,Altura,Residual_ajustado,2.7763888888888895,0.8372166836936881,-1.8200025353896194,1.8103689474964373,0.368,Sin_clasificar
21,587200.494,517565,Altura,Residual_ajustado,-1.2656944444444465,0.7772844571255243,-1.925915621153381,1.7539819957181022,0.468,Sin_clasificar
22,587202.56,517567,Altura,Residual_ajustado,0.20097222222222166,0.20908117120366898,-1.9823000484065845,1.821856378342856,0.856,Sin_clasificar
23,587204.529,517569,Altura,Residual_ajustado,2.5281944444444377,-0.8596512970088663,-1.9908573470863322,1.8901346849882845,0.378,Sin_clasificar
24,587206.461,517570,Altura,Residual_ajustado,-7.393055555555555,-0.8434270155116155,-2.1620487621336215,1.628908605731783,0.338,Sin_clasificar
25,587208.571,517572,Altura,Residual_ajustado,-1.1384722222222237,0.038170819954114504,-1.9463339803986792,1.7391369464497939,0.97,Sin_clasificar
26,587210.54,517574,Altura,Residual_ajustado,-1.6652777777777792,-0.14127242623227756,-1.9472091491101513,1.834563996335076,0.87,Sin_clasificar
27,587212.65,517576,Altura,Residual_ajustado,3.539305555555555,0.7186649836245651,-2.0634913010880784,1.7178619316773114,0.446,Sin_clasificar
28,587214.441,517577,Altura,Residual_ajustado,3.399305555555558,0.48842829183785397,-1.9859774400115104,1.7717563356447066,0.614,Sin_clasificar
29,587215.987,517575,Altura,Residual_ajustado,5.418055555555559,1.5165663959722158,-2.1637763788303914,1.7728948964779967,0.142,Sin_clasificar
30,587214.196,517574,Altura,Residual_ajustado,1.3059722222222223,0.7741540459652646,-1.7908535267390346,1.7774996303137252,0.474,Sin_clasificar
31,587212.086,517572,Altura,Residual_ajustado,-0.20736111111110955,0.47859947400135605,-1.842696333284735,1.8589753128264521,0.64,Sin_clasificar
32,587210.117,517570,Altura,Residual_ajustado,5.3902777777778015,0.5896785796879245,-1.9839199520311848,1.8592067276299635,0.682,Sin_clasificar
33,587208.007,517569,Altura,Residual_ajustado,-3.751805555555551,-1.7277681682844461,-1.8953360482628994,1.7042379110631782,0.062,Sin_clasificar
34,587206.075,517567,Altura,Residual_ajustado,-5.018472222222227,-1.4061604969867796,-2.1097549070981643,1.8105094793952965,0.126,Sin_clasificar
35,587204.105,517565,Altura,Residual_ajustado,-1.819027777777781,-1.1514864019490312,-1.848322658289431,1.8287962979231356,0.216,Sin_clasificar
36,587202.04,517564,Altura,Residual_ajustado,1.2597222222222186,-0.8996566052235578,-1.6162716744431784,1.77907156796087,0.278,Sin_clasificar
37,587200.115,517562,Altura,Residual_ajustado,-1.3923611111111058,-0.030816036744258424,-1.964585455574706,1.8663511337457117,0.992,Sin_clasificar
38,587197.782,517560,Altura,Residual_ajustado,-5.070138888888889,0.12765682070191264,-2.1241312362008027,1.9270642800871856,0.89,Sin_clasificar
39,587196.259,517559,Altura,Residual_ajustado,0.7986111111111303,0.1452780061040096,-2.0150035884391415,2.001844921957162,0.932,Sin_clasificar
40,587194.193,517557,Altura,Residual_ajustado,0.2819444444444421,-0.24696587830980227,-1.922739768540796,1.813186317540668,0.676,Sin_clasificar
41,587192.224,517555,Altura,Residual_ajustado,0.4749999999999994,-0.49335953092364493,-1.9841530498514504,1.721655451438182,0.656,Sin_clasificar
42,587190.146,517554,Altura,Residual_ajustado,-1.891666666666667,-0.2987018132916978,-2.049886635166601,1.8533759160897945,0.732,Sin_clasificar
43,587191.692,517552,Altura,Residual_ajustado,0.7350000000000041,0.6909120373704509,-1.841572919602223,1.8811254963104045,0.506,Sin_clasificar
44,587193.77,517553,Altura,Residual_ajustado,2.614999999999994,0.662822487765771,-1.85698009646598,1.8560931466372366,0.564,Sin_clasificar
45,587195.739,517555,Altura,Residual_ajustado,3.5365277777777706,1.1318455964435388,-1.8811019340758675,1.9578104716362024,0.274,Sin_clasificar
