Nodo,X,Y,Variable,Escenario,Valor,Z,Rezago_Z,Moran_local,Perm_Q025,Perm_Q975,p_Monte_Carlo_informativo,Clase_LISA
41,587192.224,517555,Altura,Original,50.666666666666664,1.093871592839681,0.5879601000573161,0.6431528511758746,-1.2072473726759987,0.9546760803220782,0.106,Sin_clasificar
42,587190.146,517554,Altura,Original,49.666666666666664,0.909344604590794,1.3168417036404199,1.197462898305565,-1.036475447028193,1.0031422633357394,0.032,Alto-Alto
43,587191.692,517552,Altura,Original,54.833333333333336,1.8627340438767108,1.5090573163996768,2.810972437418907,-0.9561702576546742,0.8597098605373856,0.002,Alto-Alto
44,587193.77,517553,Altura,Original,54.666666666666664,1.8319795458352288,1.098484767545903,2.0124016255556603,-0.9281057828768822,0.7830227339265836,0.006,Alto-Alto
45,587195.739,517555,Altura,Original,47.599999999999994,0.5279888288764271,0.7109780922232407,0.37538849026974525,-0.9142773949372442,0.6980118005480661,0.232,Sin_clasificar
46,587197.805,517557,Altura,Original,47,0.41727263592709596,-0.29623171863526737,-0.12360939008015184,-0.8707011243230329,1.1129954677484926,0.514,Sin_clasificar
47,587199.328,517558,Altura,Original,46.199999999999996,0.2696510453279856,-0.4715323574717096,-0.12714919309821587,-1.1955290083146584,0.751300648486624,0.568,Sin_clasificar
48,587201.661,517560,Altura,Original,43,-0.32083531706845186,-0.8221336351445945,0.2637695055042549,-1.1551219237816595,0.9166515223824231,0.348,Sin_clasificar
49,587203.586,517562,Altura,Original,36.6,-1.5018080418613282,-0.3392880158933408,0.5095454707757934,-1.0421215662728869,0.8673704482712692,0.134,Sin_clasificar
50,587205.651,517563,Altura,Original,39.166666666666664,-1.028188772022519,-0.5960880745397084,0.6128910653782504,-0.9167241541428482,0.7442553966796146,0.11,Sin_clasificar
51,587207.621,517565,Altura,Original,40,-0.8744162818151128,-0.6222293978749673,0.5440875165258854,-1.0167679847282676,0.8704551844283943,0.148,Sin_clasificar
52,587209.552,517567,Altura,Original,42.266666666666666,-0.4561551084509692,-0.38541976295556196,0.1758111937701412,-0.8718457923740887,0.8374317003232652,0.428,Sin_clasificar
53,587211.663,517569,Altura,Original,45.300000000000004,0.1035767559039889,-0.10709155568015752,-0.011092195922062112,-0.9547707112877287,0.6979536905553014,0.924,Sin_clasificar
54,587213.632,517570,Altura,Original,45.26666666666667,0.09742585629569303,-0.2747035700062298,-0.026763230535340795,-0.9819910077343547,0.9046961155291602,0.862,Sin_clasificar
55,587215.742,517572,Altura,Original,38.6,-1.1327540653635542,0.46032893318516976,-0.521439470469969,-0.992949719693548,0.8244270031632117,0.134,Sin_clasificar
56,587217.533,517574,Altura,Original,49.666666666666664,0.909344604590794,-0.09478975646356508,-0.08619655361061825,-0.9023632418718979,0.9390250350058303,0.658,Sin_clasificar
1,587212.895,517579,Altura,Residual_ajustado,-9.631944444444507,-2.5131803179353125,0.29979686337706335,-0.7534435764179775,-0.996134927673294,0.9414372078233965,0.102,Sin_clasificar
2,587211.104,517578,Altura,Residual_ajustado,-0.6486111111111105,-0.16923651167639264,-0.28618908818766664,0.048433642964728206,-1.1674279099956115,0.8136201132545093,0.836,Sin_clasificar
3,587208.994,517576,Altura,Residual_ajustado,-1.6940277777777522,-0.4420080798537325,0.41401338921776215,-0.18299726320187906,-0.9425126575146578,1.0459514251190911,0.534,Sin_clasificar
4,587207.025,517574,Altura,Residual_ajustado,5.121527777777783,1.336316138772374,-0.11108184527110422,-0.14844046256039228,-1.2400705105920997,0.9767791887299422,0.606,Sin_clasificar
5,587204.915,517572,Altura,Residual_ajustado,2.7948611111111097,0.7292390416411237,0.18557127776592897,0.13532582075414482,-1.1183717531302697,0.8185759935744088,0.586,Sin_clasificar
6,587202.983,517570,Altura,Residual_ajustado,2.588194444444447,0.6753152880277474,0.49607678979403314,0.3350082401836378,-0.9814050639323901,0.9761437558865802,0.35,Sin_clasificar
7,587201.014,517569,Altura,Residual_ajustado,2.0809722222222167,0.5429701615519025,0.5714450200207972,0.3102775948387224,-0.9539901530977062,0.9743590780418367,0.332,Sin_clasificar
8,587198.948,517567,Altura,Residual_ajustado,3.4430555555555804,0.898366836072335,0.45265331011175614,0.40664872204276786,-1.3040289986523417,1.0669003507699908,0.282,Sin_clasificar
9,587197.023,517566,Altura,Residual_ajustado,3.347638888888895,0.8734705869242183,0.6207935895658357,0.5422449410368628,-1.0114390292906434,0.9821113445639253,0.186,Sin_clasificar
10,587194.69,517564,Altura,Residual_ajustado,4.5631944444444485,1.1906350302201043,0.126356618220056,0.15044461595294656,-1.172718480018517,1.1751653719639625,0.598,Sin_clasificar
11,587193.167,517562,Altura,Residual_ajustado,-4.443472222222228,-1.1593969417693444,0.05902440436679293,-0.06843271391261686,-1.1233198199142693,1.0433924527129772,0.792,Sin_clasificar
12,587191.101,517561,Altura,Residual_ajustado,0.7152777777777792,0.18663127090651468,-1.0351240707487295,-0.1931865208697604,-1.1766792252973888,1.1054677835071274,0.562,Sin_clasificar
13,587189.132,517559,Altura,Residual_ajustado,-7.051666666666664,-1.8399306575661256,-0.33038264835669245,0.6078811634393672,-1.2064713799952733,1.0241721406600492,0.17,Sin_clasificar
