Nodo,Variable,Original,Residual_ajustado,Clase_estable
39,NDVI,Sin_clasificar,Hotspot,FALSE
40,NDVI,Sin_clasificar,Sin_clasificar,TRUE
41,NDVI,Sin_clasificar,Sin_clasificar,TRUE
42,NDVI,Sin_clasificar,Sin_clasificar,TRUE
43,NDVI,Sin_clasificar,Sin_clasificar,TRUE
44,NDVI,Sin_clasificar,Sin_clasificar,TRUE
45,NDVI,Sin_clasificar,Sin_clasificar,TRUE
46,NDVI,Sin_clasificar,Sin_clasificar,TRUE
47,NDVI,Sin_clasificar,Sin_clasificar,TRUE
48,NDVI,Sin_clasificar,Sin_clasificar,TRUE
49,NDVI,Sin_clasificar,Sin_clasificar,TRUE
50,NDVI,Sin_clasificar,Sin_clasificar,TRUE
51,NDVI,Sin_clasificar,Coldspot,FALSE
52,NDVI,Coldspot,Coldspot,TRUE
53,NDVI,Sin_clasificar,Sin_clasificar,TRUE
54,NDVI,Sin_clasificar,Sin_clasificar,TRUE
55,NDVI,Sin_clasificar,Hotspot,FALSE
56,NDVI,Sin_clasificar,Hotspot,FALSE
1,Nitratos,Sin_clasificar,Sin_clasificar,TRUE
2,Nitratos,Sin_clasificar,Sin_clasificar,TRUE
3,Nitratos,Sin_clasificar,Sin_clasificar,TRUE
4,Nitratos,Sin_clasificar,Sin_clasificar,TRUE
5,Nitratos,Sin_clasificar,Sin_clasificar,TRUE
6,Nitratos,Sin_clasificar,Sin_clasificar,TRUE
7,Nitratos,Sin_clasificar,Sin_clasificar,TRUE
8,Nitratos,Sin_clasificar,Sin_clasificar,TRUE
9,Nitratos,Sin_clasificar,Sin_clasificar,TRUE
10,Nitratos,Sin_clasificar,Sin_clasificar,TRUE
11,Nitratos,Sin_clasificar,Sin_clasificar,TRUE
12,Nitratos,Sin_clasificar,Sin_clasificar,TRUE
13,Nitratos,Sin_clasificar,Sin_clasificar,TRUE
14,Nitratos,Sin_clasificar,Sin_clasificar,TRUE
15,Nitratos,Sin_clasificar,Sin_clasificar,TRUE
16,Nitratos,Sin_clasificar,Sin_clasificar,TRUE
17,Nitratos,Hotspot,Sin_clasificar,FALSE
18,Nitratos,Sin_clasificar,Sin_clasificar,TRUE
19,Nitratos,Sin_clasificar,Sin_clasificar,TRUE
20,Nitratos,Sin_clasificar,Sin_clasificar,TRUE
21,Nitratos,Sin_clasificar,Sin_clasificar,TRUE
22,Nitratos,Sin_clasificar,Sin_clasificar,TRUE
23,Nitratos,Sin_clasificar,Sin_clasificar,TRUE
24,Nitratos,Sin_clasificar,Sin_clasificar,TRUE
25,Nitratos,Sin_clasificar,Sin_clasificar,TRUE
26,Nitratos,Sin_clasificar,Sin_clasificar,TRUE
