DX_m,DY_m,N_celdas,Correlacion,RMSE
-3.5,2.75,137264,0.7606902375016591,0.2089432641035796
-3.5,3,136891,0.7617432237729583,0.20838473012387237
-3.5,3.25,136518,0.7621327498838563,0.20810997176716223
-3.5,3.5,136518,0.7621957341133399,0.20806299681230203
-3.5,3.75,136145,0.7606403787181056,0.20861180210616803
-3.5,4,135772,0.7578780346893529,0.20965884441391988
-3.5,4.25,135399,0.7537059544537789,0.2112817002888695
-3.5,4.5,135026,0.7482453595953976,0.21341920825278274
-3.5,4.75,134653,0.742224111690601,0.21576149419716567
-3.5,5,134280,0.7365330973956332,0.21794689455053856
-3.25,-5,134280,0.7124965831746745,0.22765827462004634
-3.25,-4.75,134653,0.7141480391067394,0.22709712852392996
-3.25,-4.5,135026,0.7149714845734602,0.2268608481366004
-3.25,-4.25,135399,0.7156421632921574,0.22669178551502606
-3.25,-4,135772,0.7159343392134533,0.22667450443499937
-3.25,-3.75,136145,0.7156564229867535,0.22688325126103326
-3.25,-3.5,136518,0.7150832316023682,0.22721331178489715
-3.25,-3.25,136518,0.7143220183645074,0.2275156183416077
-3.25,-3,136891,0.7145080096810978,0.22755397368495617
-3.25,-2.75,137264,0.7150805150671689,0.2274415506670286
-3.25,-2.5,137637,0.7157301381540107,0.22730322559909347
-3.25,-2.25,138010,0.7165277896670871,0.22710894413239155
-3.25,-2,138383,0.7175881895934645,0.22681480602805892
-3.25,-1.75,138756,0.7187873961200012,0.2264683063431089
-3.25,-1.5,139129,0.7203829126966877,0.22596795879716197
-3.25,-1.25,139502,0.7224688420480233,0.2252755651464276
-3.25,-1,139875,0.7247806413256593,0.22449066934946232
-3.25,-0.75,140248,0.7274198290557766,0.22357267523025987
-3.25,-0.5,140621,0.73044000230055,0.222499745484346
-3.25,-0.25,140994,0.7334228306233554,0.22143579615839676
-3.25,0,141367,0.7359271365610295,0.22056338650698376
-3.25,0.25,140994,0.738100326247526,0.21954374560272946
-3.25,0.5,140621,0.7403308199661514,0.218502172068773
-3.25,0.75,140248,0.742771003141325,0.21737749712039509
-3.25,1,139875,0.7456994670426461,0.21605151901132744
-3.25,1.25,139502,0.7493657191873125,0.214416852425543
-3.25,1.5,139129,0.7533329563265089,0.21264698387554337
-3.25,1.75,138756,0.7567536925883169,0.21109484535810122
-3.25,2,138383,0.7595105996541892,0.20981475626928558
-3.25,2.25,138010,0.7619531642189262,0.20866233244192298
-3.25,2.5,137637,0.7641271711248652,0.20762004743929965
-3.25,2.75,137264,0.7658614099268474,0.20676531149405689
-3.25,3,136891,0.7671323685442669,0.2061104443533027
-3.25,3.25,136518,0.7675550902861754,0.20582115831602082
-3.25,3.5,136518,0.7671403774845987,0.20597850325716907
-3.25,3.75,136145,0.7645074762959134,0.20699329500981434
-3.25,4,135772,0.7606738770030828,0.20850171901507372
-3.25,4.25,135399,0.7563265460289355,0.21020720307435722
