X,Y,Densidad_nodos_m2,Grupo
587186.5510534588,517555.94374045834,0.15287354624371846,D100
587186.5510534588,517556.0477753958,0.15287929911169507,D100
587186.5510534588,517556.15181033325,0.15281231949052315,D100
587186.5510534588,517556.2558452707,0.15266879204125516,D100
587186.5510534588,517556.35988020815,0.1524450123547986,D100
587186.5510534588,517556.4639151456,0.15213751382632118,D100
587186.5510534588,517556.56795008306,0.15174318687901658,D100
587186.5510534588,517556.6719850205,0.15125938759345725,D100
587186.5510534588,517556.77601995796,0.15068403317995516,D100
587186.5510534588,517556.8800548954,0.15001568216217706,D100
587186.5510534588,517556.98408983287,0.1492535976059923,D100
587186.5510534588,517557.0881247703,0.14839779221368476,D100
587186.5510534588,517557.1921597078,0.14744905459647878,D100
587186.5510534588,517557.2961946452,0.14640895652507277,D100
587186.5510534588,517557.4002295827,0.14527984142709682,D100
587186.5510534588,517557.50426452013,0.1440647948420909,D100
587186.5510534588,517557.6082994576,0.1427675979502159,D100
587186.5510534588,517557.71233439504,0.14139266565348102,D100
587186.5510534588,517557.8163693325,0.1399449710022651,D100
587186.5510534588,517557.92040426994,0.1384299580212248,D100
587186.5510534588,517558.0244392074,0.136853445194527,D100
587186.5510534588,517558.12847414485,0.13522152201910764,D100
587186.5510534588,517558.2325090823,0.13354044112587202,D100
587186.5510534588,517558.33654401975,0.1318165085029264,D100
587186.5510534588,517558.4405789572,0.13005597433350138,D100
587186.654857683,517555.4235657711,0.15341592908872884,D100
587186.654857683,517555.52760070853,0.1536456209614962,D100
587186.654857683,517555.631635646,0.1538197763735181,D100
587186.654857683,517555.73567058344,0.1539367838301934,D100
587186.654857683,517555.8397055209,0.15399445844346799,D100
587186.654857683,517555.94374045834,0.1539901483471572,D100
587186.654857683,517556.0477753958,0.15392085302806705,D100
587186.654857683,517556.15181033325,0.1537833498397415,D100
587186.654857683,517556.2558452707,0.15357432485163808,D100
587186.654857683,517556.35988020815,0.15329050419048484,D100
587186.654857683,517556.4639151456,0.15292878214651986,D100
587186.654857683,517556.56795008306,0.15248634253588392,D100
587186.654857683,517556.6719850205,0.1519607701195259,D100
587186.654857683,517556.77601995796,0.15135014926443963,D100
587186.654857683,517556.8800548954,0.1506531474793808,D100
587186.654857683,517556.98408983287,0.14986908194824972,D100
587186.654857683,517557.0881247703,0.14899796770383872,D100
587186.654857683,517557.1921597078,0.1480405466168756,D100
587186.654857683,517557.2961946452,0.14699829690539337,D100
587186.654857683,517557.4002295827,0.1458734233838281,D100
587186.654857683,517557.50426452013,0.14466882915777932,D100
587186.654857683,517557.6082994576,0.1433880699185925,D100
587186.654857683,517557.71233439504,0.14203529239311635,D100
587186.654857683,517557.8163693325,0.14061515885112016,D100
587186.654857683,517557.92040426994,0.1391327598606345,D100
587186.654857683,517558.0244392074,0.13759351770621145,D100
587186.654857683,517558.12847414485,0.13600308304464037,D100
587186.654857683,517558.2325090823,0.13436722746628374,D100
587186.654857683,517558.33654401975,0.1326917346585307,D100
587186.654857683,517558.4405789572,0.1309822928327282,D100
587186.654857683,517558.54461389466,0.12924439098032636,D100
587186.7586619072,517555.3195308336,0.15468161910430883,D100
587186.7586619072,517555.4235657711,0.15487364348692903,D100
587186.7586619072,517555.52760070853,0.1550110450042144,D100
587186.7586619072,517555.631635646,0.15509382238846234,D100
587186.7586619072,517555.73567058344,0.15512126657097416,D100
587186.7586619072,517555.8397055209,0.15509204171580326,D100
587186.7586619072,517555.94374045834,0.15500428349824202,D100
587186.7586619072,517556.0477753958,0.15485571114222657,D100
587186.7586619072,517556.15181033325,0.15464374942865525,D100
587186.7586619072,517556.2558452707,0.15436565671201638,D100
587186.7586619072,517556.35988020815,0.15401865493598477,D100
587186.7586619072,517556.4639151456,0.15360005771549948,D100
587186.7586619072,517556.56795008306,0.15310739274499668,D100
587186.7586619072,517556.6719850205,0.1525385150882185,D100
587186.7586619072,517556.77601995796,0.15189170828995688,D100
587186.7586619072,517556.8800548954,0.1511657707078929,D100
587186.7586619072,517556.98408983287,0.1503600849758241,D100
587186.7586619072,517557.0881247703,0.14947466906005993,D100
587186.7586619072,517557.1921597078,0.14851020794078798,D100
587186.7586619072,517557.2961946452,0.1474680655226863,D100
587186.7586619072,517557.4002295827,0.14635027693807123,D100
587186.7586619072,517557.50426452013,0.1451595219370564,D100
587186.7586619072,517557.6082994576,0.14389908054994383,D100
587186.7586619072,517557.71233439504,0.14257277264672583,D100
587186.7586619072,517557.8163693325,0.14118488339846955,D100
587186.7586619072,517557.92040426994,0.1397400769588765,D100
587186.7586619072,517558.0244392074,0.1382433009267885,D100
587186.7586619072,517558.12847414485,0.1366996843191315,D100
587186.7586619072,517558.2325090823,0.13511443187780547,D100
587186.7586619072,517558.33654401975,0.13349271755412853,D100
587186.7586619072,517558.4405789572,0.13183957996295212,D100
587186.7586619072,517558.54461389466,0.1301598224792814,D100
587186.7586619072,517558.6486488321,0.12845792046825052,D100
587186.8624661313,517555.2154958962,0.15600367494417347,D100
587186.8624661313,517555.3195308336,0.15615624337414313,D100
587186.8624661313,517555.4235657711,0.1562521790078876,D100
587186.8624661313,517555.52760070853,0.1562932869863375,D100
587186.8624661313,517555.631635646,0.15628057851244181,D100
587186.8624661313,517555.73567058344,0.15621431827097196,D100
587186.8624661313,517555.8397055209,0.15609409380523423,D100
587186.8624661313,517555.94374045834,0.1559189039227482,D100
587186.8624661313,517556.0477753958,0.15568726270294275,D100
587186.8624661313,517556.15181033325,0.15539731530657322,D100
587186.8624661313,517556.2558452707,0.1550469615471317,D100
587186.8624661313,517556.35988020815,0.15463398308196916,D100
587186.8624661313,517556.4639151456,0.1541561701129943,D100
587186.8624661313,517556.56795008306,0.15361144364678483,D100
587186.8624661313,517556.6719850205,0.15299796964073004,D100
587186.8624661313,517556.77601995796,0.1523142617410333,D100
587186.8624661313,517556.8800548954,0.15155926978304202,D100
587186.8624661313,517556.98408983287,0.15073245175568312,D100
587186.8624661313,517557.0881247703,0.14983382751005062,D100
587186.8624661313,517557.1921597078,0.1488640130975254,D100
587186.8624661313,517557.2961946452,0.14782423523577387,D100
587186.8624661313,517557.4002295827,0.14671632600324497,D100
587186.8624661313,517557.50426452013,0.14554269843755002,D100
587186.8624661313,517557.6082994576,0.1443063042454575,D100
587186.8624661313,517557.71233439504,0.14301057530942454,D100
587186.8624661313,517557.8163693325,0.14165935108717106,D100
587186.8624661313,517557.92040426994,0.14025679433871732,D100
587186.8624661313,517558.0244392074,0.13880729787388643,D100
587186.8624661313,517558.12847414485,0.13731538518917896,D100
587186.8624661313,517558.2325090823,0.1357856079550431,D100
587186.8624661313,517558.33654401975,0.13422244332392275,D100
587186.8624661313,517558.4405789572,0.13263019395901093,D100
587186.8624661313,517558.54461389466,0.1310128935381482,D100
587186.8624661313,517558.6486488321,0.12937422027314135,D100
587186.8624661313,517558.75268376956,0.1277174207097187,D100
587186.9662703555,517555.1114609587,0.15738433743468833,D100
587186.9662703555,517555.2154958962,0.1575008836273516,D100
587186.9662703555,517555.3195308336,0.15755560947914554,D100
587186.9662703555,517555.4235657711,0.15755223121129544,D100
587186.9662703555,517555.52760070853,0.15749364544208855,D100
587186.9662703555,517555.631635646,0.15738193621265,D100
587186.9662703555,517555.73567058344,0.1572184075626546,D100
587186.9662703555,517555.8397055209,0.1570036395928824,D100
587186.9662703555,517555.94374045834,0.15673756526792304,D100
587186.9662703555,517556.0477753958,0.15641956463871234,D100
587186.9662703555,517556.15181033325,0.15604857271811923,D100
587186.9662703555,517556.2558452707,0.15562319693517138,D100
587186.9662703555,517556.35988020815,0.15514183993066966,D100
587186.9662703555,517556.4639151456,0.15460282343915077,D100
587186.9662703555,517556.56795008306,0.15400450912429017,D100
587186.9662703555,517556.6719850205,0.1533454124869271,D100
