Tipo_grupo,Grupo,n,Funcion,r,Observado,Limite_inferior,Limite_superior,Posicion
Dosis,D100,32,K,1.6915836998936982,0,4.809801651779047,18.440896086989877,Bajo_envolvente
Dosis,D100,32,K,1.7068231926855333,0,4.809801651779047,18.440896086989877,Bajo_envolvente
Dosis,D100,32,K,1.7220626854773684,0,4.809801651779047,18.440896086989877,Bajo_envolvente
Dosis,D100,32,K,1.7373021782692035,0,4.809801651779047,18.440896086989877,Bajo_envolvente
Dosis,D100,32,K,1.7525416710610386,0,4.809801651779047,19.30690874686415,Bajo_envolvente
Dosis,D100,32,K,1.7677811638528738,0,5.729234534564757,19.30690874686415,Bajo_envolvente
Dosis,D100,32,K,1.7830206566447089,0,5.729234534564757,19.30690874686415,Bajo_envolvente
Dosis,D100,32,K,1.798260149436544,0,6.48831890871757,20.7358451400319,Bajo_envolvente
Dosis,D100,32,K,1.8134996422283791,0,6.48831890871757,20.7358451400319,Bajo_envolvente
Dosis,D100,32,K,1.8287391350202142,0,6.48831890871757,20.7358451400319,Bajo_envolvente
Dosis,D100,32,K,1.8439786278120494,2.74910010804296,6.48831890871757,20.7358451400319,Bajo_envolvente
Dosis,D100,32,K,1.8592181206038845,2.74910010804296,6.48831890871757,20.7358451400319,Bajo_envolvente
Dosis,D100,32,K,1.8744576133957196,2.74910010804296,6.48831890871757,20.7358451400319,Bajo_envolvente
Dosis,D100,32,K,1.8896971061875547,2.74910010804296,6.48831890871757,20.7358451400319,Bajo_envolvente
Dosis,D100,32,K,1.9049365989793898,2.74910010804296,6.48831890871757,20.948540389150835,Bajo_envolvente
Dosis,D100,32,K,1.920176091771225,2.74910010804296,6.48831890871757,20.948540389150835,Bajo_envolvente
Dosis,D100,32,K,1.93541558456306,2.74910010804296,6.48831890871757,20.948540389150835,Bajo_envolvente
Dosis,D100,32,K,1.9506550773548952,2.74910010804296,6.48831890871757,20.948540389150835,Bajo_envolvente
Dosis,D100,32,K,1.9658945701467303,2.74910010804296,7.29118656617052,20.948540389150835,Bajo_envolvente
Dosis,D100,32,K,1.9811340629385654,2.74910010804296,7.29118656617052,21.598600752710652,Bajo_envolvente
Dosis,D100,32,K,1.9963735557304005,2.74910010804296,7.29118656617052,21.598600752710652,Bajo_envolvente
Dosis,D100,32,K,2.0116130485222357,2.74910010804296,8.094054223623472,22.023132343590827,Bajo_envolvente
Dosis,D100,32,K,2.0268525413140708,2.74910010804296,8.213607128370855,22.023132343590827,Bajo_envolvente
Dosis,D100,32,K,2.042092034105906,2.74910010804296,9.001958436965715,22.61970121215728,Bajo_envolvente
Dosis,D100,32,K,2.057331526897741,5.2191788890682,9.001958436965715,22.911694504615255,Bajo_envolvente
Dosis,D100,32,K,2.072571019689576,5.2191788890682,9.001958436965715,23.549455404811606,Bajo_envolvente
Dosis,D100,32,K,2.0878105124814113,5.2191788890682,9.001958436965715,23.549455404811606,Bajo_envolvente
Dosis,D100,32,K,2.1030500052732464,5.2191788890682,9.001958436965715,24.214959651087973,Bajo_envolvente
Dosis,D100,32,K,2.1182894980650815,5.2191788890682,9.001958436965715,24.214959651087973,Bajo_envolvente
Dosis,D100,32,K,2.1335289908569166,5.2191788890682,9.001958436965715,24.214959651087973,Bajo_envolvente
Dosis,D100,32,K,2.1487684836487517,5.2191788890682,9.001958436965715,25.03717159100843,Bajo_envolvente
Dosis,D100,32,K,2.164007976440587,5.2191788890682,9.001958436965715,25.03717159100843,Bajo_envolvente
Dosis,D100,32,K,2.179247469232422,6.865898076418359,9.001958436965715,25.99587796720544,Bajo_envolvente
Dosis,D100,32,K,2.194486962024257,6.865898076418359,9.887092062320598,25.99587796720544,Bajo_envolvente
Dosis,D100,32,K,2.209726454816092,6.865898076418359,9.887092062320598,26.86044001960924,Bajo_envolvente
Dosis,D100,32,K,2.2249659476079273,6.865898076418359,10.611475058435149,26.86044001960924,Bajo_envolvente
Dosis,D100,32,K,2.2402054403997624,6.865898076418359,10.756279994479792,27.654049160927805,Bajo_envolvente
Dosis,D100,32,K,2.2554449331915976,6.865898076418359,10.756279994479792,27.654049160927805,Bajo_envolvente
Dosis,D100,32,K,2.2706844259834327,6.865898076418359,10.756279994479792,28.447658302246378,Bajo_envolvente
Dosis,D100,32,K,2.285923918775268,6.865898076418359,11.715877568795507,28.447658302246378,Bajo_envolvente
Dosis,D100,32,K,2.301163411567103,8.552986273468626,11.715877568795507,29.247415877741343,Bajo_envolvente
Dosis,D100,32,K,2.316402904358938,10.24007447051889,11.715877568795507,29.247415877741343,Bajo_envolvente
Dosis,D100,32,K,2.331642397150773,10.24007447051889,11.715877568795507,30.198394312168002,Bajo_envolvente
Dosis,D100,32,K,2.3468818899426083,10.24007447051889,11.715877568795507,31.9474787083959,Bajo_envolvente
Dosis,D100,32,K,2.3621213827344434,10.24007447051889,11.715877568795507,31.9474787083959,Bajo_envolvente
Dosis,D100,32,K,2.3773608755262785,10.24007447051889,11.715877568795507,31.9474787083959,Bajo_envolvente
Dosis,D100,32,K,2.3926003683181136,10.24007447051889,11.715877568795507,31.9474787083959,Bajo_envolvente
Dosis,D100,32,K,2.4078398611099487,10.24007447051889,11.715877568795507,32.333131992572746,Bajo_envolvente
Dosis,D100,32,K,2.423079353901784,10.24007447051889,11.715877568795507,33.17564339071201,Bajo_envolvente
Dosis,D100,32,K,2.438318846693619,10.24007447051889,11.715877568795507,33.17564339071201,Bajo_envolvente
Dosis,D100,32,K,2.453558339485454,10.24007447051889,11.715877568795507,33.17564339071201,Bajo_envolvente
Dosis,D100,32,K,2.468797832277289,10.24007447051889,11.715877568795507,33.17564339071201,Bajo_envolvente
Dosis,D100,32,K,2.4840373250691243,10.24007447051889,12.515635144290478,33.590805217372605,Bajo_envolvente
Dosis,D100,32,K,2.4992768178609595,10.24007447051889,12.515635144290478,34.577695361321105,Bajo_envolvente
Dosis,D100,32,K,2.5145163106527946,10.24007447051889,12.515635144290478,34.577695361321105,Bajo_envolvente
Dosis,D100,32,K,2.5297558034446297,31.07932359522231,12.515635144290478,34.577695361321105,Dentro_envolvente
Dosis,D100,32,K,2.544995296236465,31.07932359522231,13.511090390741904,34.577695361321105,Dentro_envolvente
Dosis,D100,32,K,2.5602347890283,31.07932359522231,13.511090390741904,35.985221323865055,Dentro_envolvente
Dosis,D100,32,K,2.575474281820135,31.07932359522231,14.375341753201614,36.94772676961809,Dentro_envolvente
Dosis,D100,32,K,2.59071377461197,31.07932359522231,14.375341753201614,36.94772676961809,Dentro_envolvente
Dosis,D100,32,K,2.6059532674038053,31.07932359522231,14.497744718646452,36.94772676961809,Dentro_envolvente
Dosis,D100,32,K,2.6211927601956404,31.07932359522231,14.497744718646452,36.94772676961809,Dentro_envolvente
Dosis,D100,32,K,2.6364322529874755,31.07932359522231,14.497744718646452,36.94772676961809,Dentro_envolvente
Dosis,D100,32,K,2.6516717457793106,31.07932359522231,14.497744718646452,37.89586646244944,Dentro_envolvente
Dosis,D100,32,K,2.6669112385711458,31.07932359522231,15.504854075300239,38.66953477197194,Dentro_envolvente
Dosis,D100,32,K,2.682150731362981,31.07932359522231,15.504854075300239,38.90003678401572,Dentro_envolvente
Dosis,D100,32,K,2.697390224154816,31.901371845726096,16.259572212182835,38.90003678401572,Dentro_envolvente
Dosis,D100,32,K,2.712629716946651,31.901371845726096,16.259572212182835,40.792659407296256,Dentro_envolvente
Dosis,D100,32,K,2.7278692097384862,31.901371845726096,16.259572212182835,40.792659407296256,Dentro_envolvente
Dosis,D100,32,K,2.7431087025303214,31.901371845726096,16.259572212182835,40.792659407296256,Dentro_envolvente
Dosis,D100,32,K,2.7583481953221565,31.901371845726096,16.259572212182835,40.792659407296256,Dentro_envolvente
Dosis,D100,32,K,2.7735876881139916,31.901371845726096,16.259572212182835,42.245257514416295,Dentro_envolvente
Dosis,D100,32,K,2.7888271809058267,33.54546834673367,16.259572212182835,42.245257514416295,Dentro_envolvente
Dosis,D100,32,K,2.804066673697662,33.54546834673367,16.259572212182835,43.29193644021617,Dentro_envolvente
Dosis,D100,32,K,2.819306166489497,33.54546834673367,16.259572212182835,43.29193644021617,Dentro_envolvente
Dosis,D100,32,K,2.834545659281332,33.54546834673367,16.259572212182835,43.29193644021617,Dentro_envolvente
Dosis,D100,32,K,2.849785152073167,33.54546834673367,16.259572212182835,43.69239377952395,Dentro_envolvente
Dosis,D100,32,K,2.8650246448650023,33.54546834673367,17.132357746378677,43.69239377952395,Dentro_envolvente
Dosis,D100,32,K,2.8802641376568374,35.17079736160497,17.132357746378677,43.69239377952395,Dentro_envolvente
Dosis,D100,32,K,2.8955036304486725,36.79612637647626,17.132357746378677,43.69239377952395,Dentro_envolvente
Dosis,D100,32,K,2.9107431232405077,40.04678440621885,17.132357746378677,43.69239377952395,Dentro_envolvente
Dosis,D100,32,K,2.9259826160323428,40.04678440621885,17.132357746378677,43.69239377952395,Dentro_envolvente
Dosis,D100,32,K,2.941222108824178,40.04678440621885,17.132357746378677,43.69239377952395,Dentro_envolvente
Dosis,D100,32,K,2.956461601616013,40.04678440621885,18.457380264681486,43.69239377952395,Dentro_envolvente
Dosis,D100,32,K,2.971701094407848,40.04678440621885,18.457380264681486,45.3909055470716,Dentro_envolvente
Dosis,D100,32,K,2.9869405871996833,40.04678440621885,18.457380264681486,45.3909055470716,Dentro_envolvente
Dosis,D100,32,K,3.0021800799915184,40.04678440621885,18.457380264681486,45.72888619829082,Dentro_envolvente
Dosis,D100,32,K,3.0174195727833535,43.015970668644925,18.457380264681486,45.72888619829082,Dentro_envolvente
Dosis,D100,32,K,3.0326590655751886,44.99542817692897,18.457380264681486,45.72888619829082,Dentro_envolvente
Dosis,D100,32,K,3.0478985583670237,48.89268949102102,18.457380264681486,45.72888619829082,Sobre_envolvente
Dosis,D100,32,K,3.063138051158859,48.89268949102102,19.316724356727384,46.56087256989681,Sobre_envolvente
Dosis,D100,32,K,3.078377543950694,48.89268949102102,19.316724356727384,47.27669563291774,Sobre_envolvente
Dosis,D100,32,K,3.093617036742529,48.89268949102102,19.316724356727384,47.27669563291774,Sobre_envolvente
Dosis,D100,32,K,3.108856529534364,48.89268949102102,20.13163423679064,47.27669563291774,Sobre_envolvente
Dosis,D100,32,K,3.1240960223261993,48.89268949102102,20.13163423679064,47.61422674394796,Sobre_envolvente
Dosis,D100,32,K,3.1393355151180344,48.89268949102102,20.13163423679064,47.61422674394796,Sobre_envolvente
Dosis,D100,32,K,3.1545750079098696,48.89268949102102,20.946544116853897,47.61422674394796,Sobre_envolvente
Dosis,D100,32,K,3.1698145007017047,48.89268949102102,21.06779487140283,47.61422674394796,Sobre_envolvente
Dosis,D100,32,K,3.18505399349354,48.89268949102102,21.06779487140283,49.43239614929662,Dentro_envolvente
Dosis,D100,32,K,3.200293486285375,48.89268949102102,21.06779487140283,49.43239614929662,Dentro_envolvente
Dosis,D100,32,K,3.21553297907721,48.89268949102102,21.06779487140283,49.43239614929662,Dentro_envolvente
Dosis,D100,32,K,3.230772471869045,48.89268949102102,21.06779487140283,49.43239614929662,Dentro_envolvente
Dosis,D100,32,K,3.2460119646608803,48.89268949102102,21.253892389177295,50.496609644729745,Dentro_envolvente
Dosis,D100,32,K,3.2612514574527154,48.89268949102102,21.253892389177295,50.496609644729745,Dentro_envolvente
Dosis,D100,32,K,3.2764909502445505,48.89268949102102,22.89206858334635,50.496609644729745,Dentro_envolvente
Dosis,D100,32,K,3.2917304430363856,48.89268949102102,22.89206858334635,50.496609644729745,Dentro_envolvente
