Nodo,Experimental_Unit,Lote,Treatment_ID,Treatment_base,Dose_code,Dose_percent,Omission_description,Omission_public,Replication,Area_m2,Public_treatment_code,Public_unit_code,X,Y,Geometry_status,Observation_status,Macollas,Altura,Diametro,NDVI,Nitratos,Potasio_savia,Calcio_savia
39,L2_NODE_39,Lote_2,T4-B,T4,B,75,Sin K,Minus_K,2,4,D75_Minus_K,D75_Minus_K_R2,587196.259,517559,Point_available,Observed,6,40.93333333333333,3.1111111111111116,0.69,5500,4000,2300
40,L2_NODE_40,Lote_2,T6-B,T6,B,75,Sin Fe,Minus_Fe,2,4,D75_Minus_Fe,D75_Minus_Fe_R2,587194.193,517557,Point_available,Observed,5,42.03333333333333,3.355555555555556,0.71,6700,4500,1800
41,L2_NODE_41,Lote_2,T2-A,T2,A,100,Sin N,Minus_N,3,4,D100_Minus_N,D100_Minus_N_R3,587192.224,517555,Point_available,Observed,7.666666666666667,50.666666666666664,3.6222222222222222,0.7,2900,5200,1500
42,L2_NODE_42,Lote_2,T3-A,T3,A,100,Sin P,Minus_P,3,4,D100_Minus_P,D100_Minus_P_R3,587190.146,517554,Point_available,Observed,7.333333333333333,49.666666666666664,3.4,0.7,5400,5100,1500
43,L2_NODE_43,Lote_2,T5-A,T5,A,100,Sin Mg y S,Minus_MgS,3,4,D100_Minus_MgS,D100_Minus_MgS_R3,587191.692,517552,Point_available,Observed,7.666666666666667,54.833333333333336,3.4000000000000004,0.72,3400,5000,1900
44,L2_NODE_44,Lote_2,T1-A,T1,A,100,Completo,Complete,3,4,D100_Complete,D100_Complete_R3,587193.77,517553,Point_available,Observed,7.666666666666667,54.666666666666664,3.6999999999999997,0.71,4800,5000,1700
45,L2_NODE_45,Lote_2,T0-B,T0,B,75,Control,Control,2,4,D75_Control,D75_Control_R2,587195.739,517555,Point_available,Observed,5,47.599999999999994,3.3111111111111113,0.67,4400,4300,1900
46,L2_NODE_46,Lote_2,T9-B,T9,B,75,Sin B,Minus_B,2,4,D75_Minus_B,D75_Minus_B_R2,587197.805,517557,Point_available,Observed,4.666666666666667,47,3.2444444444444445,0.71,5800,4400,1700
47,L2_NODE_47,Lote_2,T10-B,T10,B,75,Sin Cu,Minus_Cu,2,4,D75_Minus_Cu,D75_Minus_Cu_R2,587199.328,517558,Point_available,Observed,5.333333333333333,46.199999999999996,3.088888888888889,0.71,4800,4600,1800
48,L2_NODE_48,Lote_2,T8-A,T8,A,100,Sin Mn,Minus_Mn,2,4,D100_Minus_Mn,D100_Minus_Mn_R2,587201.661,517560,Point_available,Observed,6.333333333333333,43,3.4,0.72,5100,4300,1400
49,L2_NODE_49,Lote_2,T6-A,T6,A,100,Sin Fe,Minus_Fe,2,4,D100_Minus_Fe,D100_Minus_Fe_R2,587203.586,517562,Point_available,Observed,7,36.6,3.0222222222222226,0.72,4300,4800,1400
50,L2_NODE_50,Lote_2,T3-A,T3,A,100,Sin P,Minus_P,2,4,D100_Minus_P,D100_Minus_P_R2,587205.651,517563,Point_available,Observed,4,39.166666666666664,3.1111111111111107,0.68,3600,4600,1300
51,L2_NODE_51,Lote_2,T9-B,T9,B,75,Sin B,Minus_B,1,4,D75_Minus_B,D75_Minus_B_R1,587207.621,517565,Point_available,Observed,6,40,3.488888888888889,0.68,4800,3800,1500
52,L2_NODE_52,Lote_2,T5-B,T5,B,75,Sin Mg y S,Minus_MgS,1,4,D75_Minus_MgS,D75_Minus_MgS_R1,587209.552,517567,Point_available,Observed,7.666666666666667,42.266666666666666,3.2000000000000006,0.67,5900,4300,1300
53,L2_NODE_53,Lote_2,T6-B,T6,B,75,Sin Fe,Minus_Fe,1,4,D75_Minus_Fe,D75_Minus_Fe_R1,587211.663,517569,Point_available,Observed,8.666666666666666,45.300000000000004,3.0555555555555554,0.69,5700,4800,1200
54,L2_NODE_54,Lote_2,T11-A,T11,A,100,Sin Mo,Minus_Mo,1,4,D100_Minus_Mo,D100_Minus_Mo_R1,587213.632,517570,Point_available,Observed,9.666666666666666,45.26666666666667,3.377777777777778,0.72,6000,4800,940
55,L2_NODE_55,Lote_2,T3-A,T3,A,100,Sin P,Minus_P,1,4,D100_Minus_P,D100_Minus_P_R1,587215.742,517572,Point_available,Observed,10.666666666666666,38.6,3.5222222222222217,0.71,4800,4900,860
56,L2_NODE_56,Lote_2,T8-A,T8,A,100,Sin Mn,Minus_Mn,1,4,D100_Minus_Mn,D100_Minus_Mn_R1,587217.533,517574,Point_available,Observed,8.333333333333334,49.666666666666664,3.377777777777778,0.72,3600,3800,1200
