Variable_suelo,Variable_cultivo,n_original,Pearson_original,Spearman_original,n_residual,Pearson_residual,Spearman_residual,Cambio_abs_Spearman,Estabilidad_direccion,Magnitud_residual,Moran_bivariado_residual,Moran_Q025,Moran_Q975,Clasificacion_Moran,Coherencia_correlacion_espacial,Prioridad_interpretacion,Suelo_etiqueta,Cultivo_etiqueta,Magnitud_Spearman_residual,Magnitud_Moran_residual,Puntuacion_integrada,Rango
Suelo_CE_corregida_OLS,Nitratos,56,-0.10871730009676757,-0.11756060719719202,56,-0.1868351423774892,-0.16001367053998633,0.042453063342794306,Dirección estable,Muy limitada,-0.04623874371097091,-0.17420895451552174,0.18078886769481292,Compatible con la referencia permutada,Dirección coherente,Baja: evidencia débil,OLS-corrected soil EC,Sap nitrate,0.16001367053998633,0.04623874371097091,0.11450369980838015,25
Suelo_CE,Nitratos,56,-0.10871730009677054,-0.11756060719719202,56,-0.1868351423774937,-0.16001367053998633,0.042453063342794306,Dirección estable,Muy limitada,-0.04623874371096957,-0.1771675281447379,0.17204972175128186,Compatible con la referencia permutada,Dirección coherente,Baja: evidencia débil,Soil EC,Sap nitrate,0.16001367053998633,0.04623874371096957,0.11450369980837963,26
Suelo_P,Nitratos,56,-0.10485990148378614,-0.11571249284824053,56,-0.1863521184615057,-0.15461380724538618,0.03890131439714564,Dirección estable,Muy limitada,-0.04770785065389532,-0.17153047180227404,0.17283877249860033,Compatible con la referencia permutada,Dirección coherente,Baja: evidencia débil,Soil P index,Sap nitrate,0.15461380724538618,0.04770785065389532,0.11185142460878984,27
Suelo_pH,Diametro,56,-0.022825223078282116,0.09216149034926946,56,-0.03947729019953645,0.11510594668489404,0.022944456335624586,Dirección estable,Muy limitada,0.08934948594693572,-0.10749606031056996,0.11861030985070226,Compatible con la referencia permutada,Dirección coherente,Baja: evidencia débil,Soil pH,Stem diameter,0.11510594668489404,0.08934948594693572,0.10480336238971072,28
Suelo_K,Diametro,56,0.09846014521137264,0.12785013868926848,56,0.11042740411633985,0.10095693779904306,-0.026893200890225413,Dirección estable,Muy limitada,0.0791137786964981,-0.17158841234100852,0.17386652542485212,Compatible con la referencia permutada,Dirección coherente,Baja: evidencia débil,Soil K index,Stem diameter,0.10095693779904306,0.0791137786964981,0.09221967415802508,29
Suelo_N,Diametro,56,0.0966592996009521,0.1306190855432339,56,0.1126481634048059,0.09384825700615175,-0.03677082853708215,Dirección estable,Muy limitada,0.07840975072477384,-0.1832104091776985,0.1657734975483153,Compatible con la referencia permutada,Dirección coherente,Baja: evidencia débil,Soil N index,Stem diameter,0.09384825700615175,0.07840975072477384,0.08767285449360057,30
Suelo_P,Diametro,56,0.0989239152763178,0.13178135953131817,56,0.11411784535448873,0.08653451811346549,-0.04524684141785268,Dirección estable,Muy limitada,0.0816847226542246,-0.16456186361018108,0.16763954496930011,Compatible con la referencia permutada,Dirección coherente,Baja: evidencia débil,Soil P index,Stem diameter,0.08653451811346549,0.0816847226542246,0.08459459992976914,31
Suelo_Hv,Nitratos,56,-0.07175158115969325,0.16609072102706635,56,0.13535136942266007,0.12597402597402596,-0.040116695053040385,Dirección estable,Muy limitada,0.018702862203930495,-0.12133030033243777,0.12162131977685901,Compatible con la referencia permutada,Dirección coherente,Baja: evidencia débil,Soil moisture index,Sap nitrate,0.12597402597402596,0.018702862203930495,0.08306556046598777,32
Suelo_CE,Diametro,56,0.09535291611560139,0.12583325147465166,56,0.10828402333784169,0.08537252221462749,-0.04046072926002417,Dirección estable,Muy limitada,0.07870305117455328,-0.16042919558281687,0.18307418223653837,Compatible con la referencia permutada,Dirección coherente,Baja: evidencia débil,Soil EC,Stem diameter,0.08537252221462749,0.07870305117455328,0.0827047337985978,33
Suelo_CE_corregida_OLS,Diametro,56,0.09535291611560345,0.12583325147465166,56,0.10828402333784491,0.08537252221462749,-0.04046072926002417,Dirección estable,Muy limitada,0.07870305117455206,-0.17847879912694117,0.17319955669017095,Compatible con la referencia permutada,Dirección coherente,Baja: evidencia débil,OLS-corrected soil EC,Stem diameter,0.08537252221462749,0.07870305117455206,0.08270473379859732,34
