Nodo,X,Y,Replication,Dose_percent,Omission_description,Suelo_CE,Suelo_CE_corregida_OLS,Suelo_N,Suelo_P,Suelo_K,Suelo_pH,Suelo_T,Suelo_Hv,Macollas,Altura,Diametro,NDVI,Nitratos,Potasio_savia,Calcio_savia,RES_Suelo_CE,RES_Suelo_CE_corregida_OLS,RES_Suelo_N,RES_Suelo_P,RES_Suelo_K,RES_Suelo_pH,RES_Suelo_T,RES_Suelo_Hv,RES_Macollas,RES_Altura,RES_Diametro,RES_NDVI,RES_Nitratos,RES_Potasio_savia,RES_Calcio_savia
11,587193.167,517562,2,75,Sin Mn,131.81644067334886,389.32203475841084,9.041590553866788,12.667347528310373,26.27119483133049,6.212117508429258,15.845158233713603,14.586305647917328,6,41.13333333333333,3.222222222222222,0.7,5900,4500,2000,-37.70731319734352,-35.07911346749124,-2.614968692805794,-3.7107196978833072,-7.46187491025368,-0.572283215290789,-0.5858808839082866,-0.12605850511040137,0.7868055555555562,-4.443472222222228,-0.05134259259259291,-4.166666666667294e-4,403.33333333333394,-71.87499999999922,46.85416666666676
12,587191.101,517561,2,75,Sin Zn,159.69332848488125,415.25590348947674,10.742533285444937,15.39784089115294,31.321462867702863,6.534018154170608,16.24488757423928,14.779971419273359,5.666666666666667,47.86666666666667,3.2222222222222223,0.69,5400,4900,1800,-42.94785118353757,-39.95438595604921,-3.139649049036518,-4.348957206961871,-8.792580031465178,-0.5446694139521497,-0.2500739909998006,0.14124502180192422,0.5972222222222225,0.7152777777777792,0.10740740740740759,-0.002916666666666742,183.3333333333342,50.00000000000057,-140.8333333333332
13,587189.132,517559,3,100,Control,145.5237110627009,402.07390840162464,9.964649182665944,13.920440598608678,28.80742594513706,6.823911223043582,16.587488417945256,15.030052093858945,7.666666666666667,44.333333333333336,3.3111111111111113,0.67,2800,4300,1000,-56.09891095382487,-52.188816860347,-3.8901524830676264,-5.683365984823557,-11.138227147465376,-0.29275985376104624,0.14653560692532833,0.053903767104181495,0.7083333333333339,-7.051666666666664,-0.08944444444444449,-0.00799999999999998,-339.9999999999983,-252.49999999999991,-536.7500000000001
14,587187.054,517557,3,100,Sin Mo,213.67980437274474,465.479522007962,14.866279584705195,20.866984207334028,42.67746640007951,7.041364067333705,16.34828161043097,14.691481955342187,7.333333333333333,62.333333333333336,3.533333333333333,0.72,4500,4800,2000,19.57178595431475,18.20763247329875,1.5275375842675285,1.9769366012403784,3.994043280529928,-0.15226482684433626,-0.1853875162504944,-0.2125550405593651,-0.4916666666666677,6.901666666666671,-0.11611111111111119,-0.001999999999999988,-320,-632.5000000000005,331.2500000000003
15,587188.6,517555,3,100,Sin Mn,221.56053182485203,472.8109627566596,15.339998739322306,21.65602791257174,44.04155765452988,6.8348240819865955,16.45210968892871,14.771259660054069,7.333333333333333,56.666666666666664,4.022222222222222,0.72,4900,4800,1700,14.546190579563376,13.53232109616806,1.0476907455067583,1.6071387292145745,2.8226264771055676,0.3599866148576562,-0.016807582680864772,-0.1516117525541479,-0.09166666666666747,3.7683333333333326,0.43500000000000005,-3.469446951953614e-18,419.9999999999998,-12.500000000000053,-0.749999999999968
16,587190.678,517557,3,100,Sin Cu,178.32928128728045,432.5929303815548,12.275055004772081,17.16568873879705,35.39507101505339,6.543405977416025,16.404440793303923,14.774624934352808,6.666666666666667,45.333333333333336,3.2777777777777777,0.71,5300,5700,1900,-28.38211966320374,-26.40388592268034,-2.101643170498468,-2.9339911515315173,-5.681721834539772,-0.23597029403820163,0.12166238317133737,-0.15374016732543436,-0.29166666666666596,-5.551666666666668,-0.0761111111111113,-0.005999999999999996,819.9999999999995,647.5,271.24999999999966
17,587192.647,517559,2,75,Completo,175.6150853678236,430.0679139176843,11.948453872332482,16.984244434043607,34.49482236840592,7.150641894744437,16.108180467084274,14.776197480845244,5.333333333333333,37.6,3.255555555555555,0.7,5900,4700,2300,-53.544666965404936,-49.81260367791718,-3.860538451548596,-5.319914932684455,-10.797273261635315,0.32988833852940036,-0.29100982110248413,-0.03437938037696623,0.0534722222222223,-7.1301388888888955,0.09087962962962921,0.00558333333333327,123.33333333333414,28.12500000000046,276.8541666666668
18,587194.713,517560,2,75,Sin Mg y S,181.8089981297853,435.8301109601372,12.633121782604167,17.738206878881982,36.220590190047126,6.911888973434174,16.411153349030926,14.771366557204301,6,49.53333333333333,3.3444444444444446,0.71,5200,5600,1800,2.4429181911009907,2.27264679318221,0.23285391872012703,0.23341653943830892,0.6273014846197039,0.0822242978578974,-0.12670354564957992,-0.0936130251950063,0.1868055555555561,2.756527777777774,-0.24912037037037052,0.019583333333333286,-336.66666666666595,608.1250000000006,-53.14583333333319
19,587196.236,517562,2,75,Sin Mo,166.27803468695151,421.3816556692683,11.259529776952602,16.05217296569518,33.216993375202875,6.619416589371271,16.35445327649193,14.728083828448181,6,48.36666666666667,3.6222222222222222,0.7,5600,5600,1800,9.660603643117716,8.98725956919451,0.5565365236578949,0.8329473167650152,2.019431691493424,-0.8837755613978774,-0.1413376962018469,0.03455409212711599,0.3868055555555564,0.25652777777777636,0.286435185185185,-0.0024166666666667084,-236.6666666666662,408.12500000000085,-121.14583333333329
20,587198.569,517564,2,100,Sin B,127.48522014555596,385.2927003014059,8.319925793702573,12.215007861599805,25.14689648991577,8.618405408688286,15.996168585176823,14.736776045855486,5.666666666666667,46.4,3.4222222222222225,0.71,5700,5000,1300,-90.3141674157372,-84.0192699468651,-6.712979114064046,-9.04159234630073,-18.163239840025685,-0.04288245497147037,-0.2547726916297065,-0.04745896612101833,0.1805555555555559,2.7763888888888895,-0.10231481481481455,-0.0037500000000000033,1000,424.99999999999994,-120.83333333333331
