Variable_suelo,Variable_cultivo,Escenario,Clase_distancia,n_pares,Distancia_media_m,Asociacion_cruzada_media,DE_asociacion
Suelo_CE_corregida_OLS,NDVI,Residual_ajustado,"[1.82,5.4]",257,3.6451846732626887,0.18336208787608693,0.6991372656115509
Suelo_CE_corregida_OLS,NDVI,Residual_ajustado,"(5.4,8.07]",259,6.701124478376243,-0.031417842936581786,0.6692169145751033
Suelo_CE_corregida_OLS,NDVI,Residual_ajustado,"(8.07,11.2]",254,9.731098454161252,-0.02383683473079123,0.6985620319620387
Suelo_CE_corregida_OLS,NDVI,Residual_ajustado,"(11.2,15.9]",257,13.789795449215488,-0.11154730582278087,0.7167715261757277
Suelo_CE_corregida_OLS,NDVI,Residual_ajustado,"(15.9,21.8]",258,18.87249627748128,-0.1593589695521022,0.7554687761708544
Suelo_CE_corregida_OLS,NDVI,Residual_ajustado,"(21.8,34.9]",255,26.95148510136917,0.10739870456124327,0.7741130331211016
Suelo_CE_corregida_OLS,Nitratos,Original,"[1.82,5.4]",257,3.6451846732626887,-0.12058037766941372,0.7475289774097384
Suelo_CE_corregida_OLS,Nitratos,Original,"(5.4,8.07]",259,6.701124478376243,0.06421677418601919,0.5932799762812063
Suelo_CE_corregida_OLS,Nitratos,Original,"(8.07,11.2]",254,9.731098454161252,0.10932550671114756,0.6143847534034373
Suelo_CE_corregida_OLS,Nitratos,Original,"(11.2,15.9]",257,13.789795449215488,-0.06294268464256804,0.6502727011012327
Suelo_CE_corregida_OLS,Nitratos,Original,"(15.9,21.8]",258,18.87249627748128,-0.07611329225182774,0.658409578549086
Suelo_CE_corregida_OLS,Nitratos,Original,"(21.8,34.9]",255,26.95148510136917,0.09957474097647659,0.8240391195489548
Suelo_CE_corregida_OLS,Nitratos,Residual_ajustado,"[1.82,5.4]",257,3.6451846732626887,-0.023426347549445666,0.6589778712144494
Suelo_CE_corregida_OLS,Nitratos,Residual_ajustado,"(5.4,8.07]",259,6.701124478376243,0.08466693645269834,0.7033017261278747
Suelo_CE_corregida_OLS,Nitratos,Residual_ajustado,"(8.07,11.2]",254,9.731098454161252,-0.021794621581798766,0.6965603275544552
Suelo_CE_corregida_OLS,Nitratos,Residual_ajustado,"(11.2,15.9]",257,13.789795449215488,-0.0641249584655922,0.7095370186500454
Suelo_CE_corregida_OLS,Nitratos,Residual_ajustado,"(15.9,21.8]",258,18.87249627748128,0.053402165371034684,0.7505575989288688
Suelo_CE_corregida_OLS,Nitratos,Residual_ajustado,"(21.8,34.9]",255,26.95148510136917,-0.009929448093934314,0.6932137111351595
Suelo_CE_corregida_OLS,Potasio_savia,Original,"[1.82,5.4]",257,3.6451846732626887,-0.3490130796112339,0.8272921030800529
Suelo_CE_corregida_OLS,Potasio_savia,Original,"(5.4,8.07]",259,6.701124478376243,-0.17089537516151965,0.61457889947512
Suelo_CE_corregida_OLS,Potasio_savia,Original,"(8.07,11.2]",254,9.731098454161252,-0.09213491258211413,0.5709759460501111
Suelo_CE_corregida_OLS,Potasio_savia,Original,"(11.2,15.9]",257,13.789795449215488,-0.028257940923441027,0.5798550867921437
Suelo_CE_corregida_OLS,Potasio_savia,Original,"(15.9,21.8]",258,18.87249627748128,0.2618929006308757,0.7707973868720921
Suelo_CE_corregida_OLS,Potasio_savia,Original,"(21.8,34.9]",255,26.95148510136917,0.42763217328418496,0.8074511709777619
Suelo_CE_corregida_OLS,Potasio_savia,Residual_ajustado,"[1.82,5.4]",257,3.6451846732626887,-0.08809932077602883,0.7671945775745684
Suelo_CE_corregida_OLS,Potasio_savia,Residual_ajustado,"(5.4,8.07]",259,6.701124478376243,0.1282140696561194,0.6899500168720154
