Variable_suelo,Variable_cultivo,Escenario,Moran_bivariado,Sim_Q025,Sim_Mediana,Sim_Q975,p_Monte_Carlo_informativo,Clasificacion
Suelo_P,Calcio_savia,Residual_ajustado,0.028915046189600634,-0.17001766823208012,-0.0017053686246272196,0.1807652899637197,0.741,Compatible con la referencia permutada
Suelo_P,Diametro,Original,0.035169022528621176,-0.1979994148323408,-0.001430527371069708,0.23153094203371827,0.737,Compatible con la referencia permutada
Suelo_P,Diametro,Residual_ajustado,0.0816847226542246,-0.16456186361018108,-0.003862781204809914,0.16763954496930011,0.346,Compatible con la referencia permutada
Suelo_P,Macollas,Original,0.43829781097529463,-0.21564954710084822,0.004336188822731566,0.216523450348437,0.001,Asociación espacial positiva mayor que la referencia
Suelo_P,Macollas,Residual_ajustado,0.034532417539959975,-0.18312595385099806,0.0017276681043769638,0.1628791835171857,0.707,Compatible con la referencia permutada
Suelo_P,NDVI,Original,0.01253728992496482,-0.21811232820054338,-0.008209655459349041,0.20593084614918095,0.852,Compatible con la referencia permutada
Suelo_P,NDVI,Residual_ajustado,0.22185902231547755,-0.1671650228527534,-0.004468928684603347,0.17933415998558486,0.013,Asociación espacial positiva mayor que la referencia
Suelo_P,Nitratos,Original,-0.1853603325878844,-0.2179871577926325,0.0035133531715711395,0.2142520227384159,0.094,Compatible con la referencia permutada
Suelo_P,Nitratos,Residual_ajustado,-0.04770785065389532,-0.17153047180227404,-0.0012507996517363631,0.17283877249860033,0.596,Compatible con la referencia permutada
Suelo_P,Potasio_savia,Original,-0.4705455107784667,-0.2315281985929319,0.0034437972571956217,0.2115383596533379,0.001,Asociación espacial negativa menor que la referencia
Suelo_P,Potasio_savia,Residual_ajustado,-0.24009653112552307,-0.17432100978764165,0.007039303837196337,0.18009903552585121,0.007,Asociación espacial negativa menor que la referencia
Suelo_pH,Altura,Original,-0.16569951793746812,-0.1729158749906457,4.906549979037595e-4,0.18266551359353367,0.07,Compatible con la referencia permutada
Suelo_pH,Altura,Residual_ajustado,0.04069621260016707,-0.12056331557544948,-0.0020094564463878496,0.1185781603906424,0.502,Compatible con la referencia permutada
Suelo_pH,Calcio_savia,Original,-0.4524624389314798,-0.1715722966694981,0.0030570760122461444,0.16995189670262809,0.001,Asociación espacial negativa menor que la referencia
Suelo_pH,Calcio_savia,Residual_ajustado,0.011442876765914243,-0.11676173338571266,-0.0038722384051044913,0.11273209877986266,0.807,Compatible con la referencia permutada
Suelo_pH,Diametro,Original,0.05216800097822811,-0.1752254534794856,-5.358638542967226e-4,0.17647819306848508,0.566,Compatible con la referencia permutada
Suelo_pH,Diametro,Residual_ajustado,0.08934948594693572,-0.10749606031056996,-0.0021031644151467237,0.11861030985070226,0.112,Compatible con la referencia permutada
Suelo_pH,Macollas,Original,0.1938083154887305,-0.17401047291012994,0.007620019768737707,0.18527029033550682,0.044,Asociación espacial positiva mayor que la referencia
Suelo_pH,Macollas,Residual_ajustado,0.063454114387136,-0.11393694226005854,-9.282532832200987e-4,0.10951007218420489,0.268,Compatible con la referencia permutada
Suelo_pH,NDVI,Original,0.05690084446045,-0.1773396499510746,-0.00458981681988478,0.18875972204835328,0.513,Compatible con la referencia permutada
Suelo_pH,NDVI,Residual_ajustado,0.06703806469234988,-0.12446190758985619,0.003753486694999117,0.1232525140397667,0.309,Compatible con la referencia permutada
Suelo_pH,Nitratos,Original,-0.2362468400699848,-0.1918093576061744,0.004202004473242792,0.18609884097405577,0.01,Asociación espacial negativa menor que la referencia
Suelo_pH,Nitratos,Residual_ajustado,-0.03226663382625198,-0.1279795185402181,-0.001100652187903168,0.11487078534395215,0.622,Compatible con la referencia permutada
Suelo_pH,Potasio_savia,Original,-0.287497496540096,-0.18836875968593753,0.0032389587617892165,0.17631226861087562,0.002,Asociación espacial negativa menor que la referencia
Suelo_pH,Potasio_savia,Residual_ajustado,-0.023502634133949343,-0.11262516328619893,-0.0014438166702656057,0.12178048558636516,0.707,Compatible con la referencia permutada
Suelo_T,Altura,Original,-0.1131960956447941,-0.16372119372528476,-0.0030248156716865824,0.16160425289066643,0.18,Compatible con la referencia permutada
Suelo_T,Altura,Residual_ajustado,-0.13418020989102192,-0.1537436621385989,0.0010284508014249084,0.14499117012924603,0.081,Compatible con la referencia permutada
Suelo_T,Calcio_savia,Original,-0.10544999615453941,-0.15386524065078058,-0.002866403670124561,0.16044690375251164,0.22,Compatible con la referencia permutada
Suelo_T,Calcio_savia,Residual_ajustado,0.043305001797133286,-0.15851386009146573,8.820409403949455e-4,0.1557316160414205,0.609,Compatible con la referencia permutada
