Fila_base,Nodo,Respuesta,Modelo_ID,Tipo_modelo,Cook,Leverage,Residuo_estandarizado,Umbral_Cook,Umbral_Leverage,Influyente_Cook,Influyente_Leverage,Residuo_extremo,Estado_influencia
36,36,Altura,M1_Tratamientos,M1,0.003121118731861445,0.29166666666666674,0.3371911871040922,0.07142857142857142,0.5357142857142857,FALSE,FALSE,FALSE,Sin señal fuerte
37,37,Altura,M1_Tratamientos,M1,0.0028749270863083058,0.24791666666666679,-0.36169221992268585,0.07142857142857142,0.5357142857142857,FALSE,FALSE,FALSE,Sin señal fuerte
38,38,Altura,M1_Tratamientos,M1,0.03812086771593659,0.24791666666666679,-1.3170647868606182,0.07142857142857142,0.5357142857142857,FALSE,FALSE,FALSE,Sin señal fuerte
39,39,Altura,M1_Tratamientos,M1,0.0012543865983204805,0.29166666666666663,0.21376508554008616,0.07142857142857142,0.5357142857142857,FALSE,FALSE,FALSE,Sin señal fuerte
40,40,Altura,M1_Tratamientos,M1,1.563463662160614e-4,0.2916666666666665,0.0754683693298019,0.07142857142857142,0.5357142857142857,FALSE,FALSE,FALSE,Sin señal fuerte
41,41,Altura,M1_Tratamientos,M1,4.673708952017873e-4,0.3,0.12789832419567723,0.07142857142857142,0.5357142857142857,FALSE,FALSE,FALSE,Sin señal fuerte
42,42,Altura,M1_Tratamientos,M1,0.007412482258803624,0.3,-0.5093494665336626,0.07142857142857142,0.5357142857142857,FALSE,FALSE,FALSE,Sin señal fuerte
43,43,Altura,M1_Tratamientos,M1,0.001119049049796738,0.3,0.197905827965944,0.07142857142857142,0.5357142857142857,FALSE,FALSE,FALSE,Sin señal fuerte
44,44,Altura,M1_Tratamientos,M1,0.014165040841401593,0.29999999999999993,0.7041139321509381,0.07142857142857142,0.5357142857142857,FALSE,FALSE,FALSE,Sin señal fuerte
45,45,Altura,M1_Tratamientos,M1,0.01854715118672446,0.24791666666666673,0.9186801990914082,0.07142857142857142,0.5357142857142857,FALSE,FALSE,FALSE,Sin señal fuerte
46,46,Altura,M1_Tratamientos,M1,0.01163236465735203,0.2916666666666667,0.650961156140317,0.07142857142857142,0.5357142857142857,FALSE,FALSE,FALSE,Sin señal fuerte
47,47,Altura,M1_Tratamientos,M1,0.01030831704890862,0.24791666666666676,0.6848881207772916,0.07142857142857142,0.5357142857142857,FALSE,FALSE,FALSE,Sin señal fuerte
48,48,Altura,M1_Tratamientos,M1,0.003951441387427897,0.24791666666666665,-0.4240367741397843,0.07142857142857142,0.5357142857142857,FALSE,FALSE,FALSE,Sin señal fuerte
49,49,Altura,M1_Tratamientos,M1,0.034809217669930274,0.2916666666666665,-1.1260772940885304,0.07142857142857142,0.5357142857142857,FALSE,FALSE,FALSE,Sin señal fuerte
50,50,Altura,M1_Tratamientos,M1,0.02524161773898941,0.24791666666666665,-1.0717274207285212,0.07142857142857142,0.5357142857142857,FALSE,FALSE,FALSE,Sin señal fuerte
51,51,Altura,M1_Tratamientos,M1,0.02468974663626939,0.29166666666666674,-0.9483734490656467,0.07142857142857142,0.5357142857142857,FALSE,FALSE,FALSE,Sin señal fuerte
52,52,Altura,M1_Tratamientos,M1,0.0180120542050202,0.24791666666666665,-0.9053309600518697,0.07142857142857142,0.5357142857142857,FALSE,FALSE,FALSE,Sin señal fuerte
53,53,Altura,M1_Tratamientos,M1,0.04114141054006901,0.2916666666666664,1.224223350753892,0.07142857142857142,0.5357142857142857,FALSE,FALSE,FALSE,Sin señal fuerte
54,54,Altura,M1_Tratamientos,M1,0.0011328529385562594,0.24791666666666656,-0.22704530074548182,0.07142857142857142,0.5357142857142857,FALSE,FALSE,FALSE,Sin señal fuerte
55,55,Altura,M1_Tratamientos,M1,0.01994483352414388,0.24791666666666676,-0.9526666401055912,0.07142857142857142,0.5357142857142857,FALSE,FALSE,FALSE,Sin señal fuerte
56,56,Altura,M1_Tratamientos,M1,0.0544463501410317,0.2479166666666667,1.5740195988595582,0.07142857142857142,0.5357142857142857,FALSE,FALSE,FALSE,Sin señal fuerte
1,1,Diametro,M1_Tratamientos,M1,0.007831931618357978,0.2916666666666667,0.5341405062182053,0.07142857142857142,0.5357142857142857,FALSE,FALSE,FALSE,Sin señal fuerte
2,2,Diametro,M1_Tratamientos,M1,1.4267209542267025e-4,0.29166666666666785,0.07209258366134948,0.07142857142857142,0.5357142857142857,FALSE,FALSE,FALSE,Sin señal fuerte
3,3,Diametro,M1_Tratamientos,M1,0.003229910315759447,0.24791666666666634,0.3833725217315424,0.07142857142857142,0.5357142857142857,FALSE,FALSE,FALSE,Sin señal fuerte
4,4,Diametro,M1_Tratamientos,M1,0.004322082687731608,0.2479166666666665,0.4434782095019792,0.07142857142857142,0.5357142857142857,FALSE,FALSE,FALSE,Sin señal fuerte
5,5,Diametro,M1_Tratamientos,M1,0.0014708593604224024,0.24791666666666654,-0.2587088730224877,0.07142857142857142,0.5357142857142857,FALSE,FALSE,FALSE,Sin señal fuerte
6,6,Diametro,M1_Tratamientos,M1,0.01816069343146072,0.24791666666666662,0.9090587750888548,0.07142857142857142,0.5357142857142857,FALSE,FALSE,FALSE,Sin señal fuerte
7,7,Diametro,M1_Tratamientos,M1,0.003197838587376136,0.24791666666666679,-0.3814644046594645,0.07142857142857142,0.5357142857142857,FALSE,FALSE,FALSE,Sin señal fuerte
8,8,Diametro,M1_Tratamientos,M1,0.03683600424841546,0.2916666666666669,-1.1583967420130985,0.07142857142857142,0.5357142857142857,FALSE,FALSE,FALSE,Sin señal fuerte
9,9,Diametro,M1_Tratamientos,M1,4.631669881626392e-4,0.24791666666666676,0.14517590723388735,0.07142857142857142,0.5357142857142857,FALSE,FALSE,FALSE,Sin señal fuerte
10,10,Diametro,M1_Tratamientos,M1,0.0023556390006618704,0.24791666666666698,0.32740108761727543,0.07142857142857142,0.5357142857142857,FALSE,FALSE,FALSE,Sin señal fuerte
11,11,Diametro,M1_Tratamientos,M1,6.833750758106983e-4,0.2479166666666666,-0.17634181941115024,0.07142857142857142,0.5357142857142857,FALSE,FALSE,FALSE,Sin señal fuerte
12,12,Diametro,M1_Tratamientos,M1,0.003966520074395883,0.2916666666666665,0.3801245320325866,0.07142857142857142,0.5357142857142857,FALSE,FALSE,FALSE,Sin señal fuerte
13,13,Diametro,M1_Tratamientos,M1,0.002897087862792725,0.30000000000000004,-0.31843064425043227,0.07142857142857142,0.5357142857142857,FALSE,FALSE,FALSE,Sin señal fuerte
14,14,Diametro,M1_Tratamientos,M1,0.004882052966114305,0.2999999999999998,-0.4133664884990083,0.07142857142857142,0.5357142857142857,FALSE,FALSE,FALSE,Sin señal fuerte
15,15,Diametro,M1_Tratamientos,M1,0.06852253773819396,0.2999999999999999,1.5486409593048962,0.07142857142857142,0.5357142857142857,FALSE,FALSE,FALSE,Sin señal fuerte
16,16,Diametro,M1_Tratamientos,M1,0.0020977370509145826,0.30000000000000016,-0.27096272212614475,0.07142857142857142,0.5357142857142857,FALSE,FALSE,FALSE,Sin señal fuerte
17,17,Diametro,M1_Tratamientos,M1,0.0021410984741625713,0.24791666666666662,0.312136151040653,0.07142857142857142,0.5357142857142857,FALSE,FALSE,FALSE,Sin señal fuerte
18,18,Diametro,M1_Tratamientos,M1,0.01608873975895698,0.2479166666666667,-0.8556314970706892,0.07142857142857142,0.5357142857142857,FALSE,FALSE,FALSE,Sin señal fuerte
19,19,Diametro,M1_Tratamientos,M1,0.02126945073737218,0.2479166666666667,0.983793360411884,0.07142857142857142,0.5357142857142857,FALSE,FALSE,FALSE,Sin señal fuerte
20,20,Diametro,M1_Tratamientos,M1,0.003599301556063614,0.29166666666666674,-0.362101386117247,0.07142857142857142,0.5357142857142857,FALSE,FALSE,FALSE,Sin señal fuerte
21,21,Diametro,M1_Tratamientos,M1,0.001754570803813206,0.24791666666666667,0.2825603364234538,0.07142857142857142,0.5357142857142857,FALSE,FALSE,FALSE,Sin señal fuerte
22,22,Diametro,M1_Tratamientos,M1,0.5342832570791459,0.2479166666666667,4.930733524003901,0.07142857142857142,0.5357142857142857,TRUE,FALSE,TRUE,Revisar
23,23,Diametro,M1_Tratamientos,M1,1.8756349107412182e-4,0.2479166666666666,0.09238466823974537,0.07142857142857142,0.5357142857142857,FALSE,FALSE,FALSE,Sin señal fuerte
24,24,Diametro,M1_Tratamientos,M1,0.025047869752644582,0.29166666666666674,-0.9552267335129219,0.07142857142857142,0.5357142857142857,FALSE,FALSE,FALSE,Sin señal fuerte
25,25,Diametro,M1_Tratamientos,M1,0.01381894152832654,0.24791666666666673,-0.7929816532041507,0.07142857142857142,0.5357142857142857,FALSE,FALSE,FALSE,Sin señal fuerte
26,26,Diametro,M1_Tratamientos,M1,1.1791082266338628e-6,0.29166666666666663,-0.0065538712419415035,0.07142857142857142,0.5357142857142857,FALSE,FALSE,FALSE,Sin señal fuerte
27,27,Diametro,M1_Tratamientos,M1,7.515458348524675e-4,0.24791666666666679,0.18492834623549703,0.07142857142857142,0.5357142857142857,FALSE,FALSE,FALSE,Sin señal fuerte
28,28,Diametro,M1_Tratamientos,M1,0.03164788871308714,0.24791666666666667,1.2000466285806517,0.07142857142857142,0.5357142857142857,FALSE,FALSE,FALSE,Sin señal fuerte
29,29,Diametro,M1_Tratamientos,M1,0.025133870958924685,0.29166666666666674,0.9568652013234072,0.07142857142857142,0.5357142857142857,FALSE,FALSE,FALSE,Sin señal fuerte
30,30,Diametro,M1_Tratamientos,M1,7.515458348524789e-4,0.24791666666666673,0.18492834623549845,0.07142857142857142,0.5357142857142857,FALSE,FALSE,FALSE,Sin señal fuerte
31,31,Diametro,M1_Tratamientos,M1,0.02290874945949424,0.24791666666666665,-1.0210016433173936,0.07142857142857142,0.5357142857142857,FALSE,FALSE,FALSE,Sin señal fuerte
32,32,Diametro,M1_Tratamientos,M1,0.002055259333286747,0.29166666666666663,0.2736241243510417,0.07142857142857142,0.5357142857142857,FALSE,FALSE,FALSE,Sin señal fuerte
33,33,Diametro,M1_Tratamientos,M1,0.01226893689903381,0.2479166666666666,-0.7471868434742923,0.07142857142857142,0.5357142857142857,FALSE,FALSE,FALSE,Sin señal fuerte
34,34,Diametro,M1_Tratamientos,M1,0.0026966528211266744,0.24791666666666656,-0.35029849248220024,0.07142857142857142,0.5357142857142857,FALSE,FALSE,FALSE,Sin señal fuerte
35,35,Diametro,M1_Tratamientos,M1,0.021962560127277573,0.24791666666666676,-0.999694336012528,0.07142857142857142,0.5357142857142857,FALSE,FALSE,FALSE,Sin señal fuerte
36,36,Diametro,M1_Tratamientos,M1,0.004000787907232425,0.29166666666666674,-0.3817629998430717,0.07142857142857142,0.5357142857142857,FALSE,FALSE,FALSE,Sin señal fuerte
