Nodo,Variable,Valor,Limite_inferior,Limite_superior,Extremo_IQR
1,Nitratos,4900,1787.5,7887.5,FALSE
2,Nitratos,5500,1787.5,7887.5,FALSE
3,Nitratos,5400,1787.5,7887.5,FALSE
4,Nitratos,6100,1787.5,7887.5,FALSE
5,Nitratos,5800,1787.5,7887.5,FALSE
6,Nitratos,4100,1787.5,7887.5,FALSE
7,Nitratos,3400,1787.5,7887.5,FALSE
8,Nitratos,3800,1787.5,7887.5,FALSE
9,Nitratos,3600,1787.5,7887.5,FALSE
10,Nitratos,5400,1787.5,7887.5,FALSE
11,Nitratos,5900,1787.5,7887.5,FALSE
12,Nitratos,5400,1787.5,7887.5,FALSE
13,Nitratos,2800,1787.5,7887.5,FALSE
14,Nitratos,4500,1787.5,7887.5,FALSE
15,Nitratos,4900,1787.5,7887.5,FALSE
16,Nitratos,5300,1787.5,7887.5,FALSE
17,Nitratos,5900,1787.5,7887.5,FALSE
18,Nitratos,5200,1787.5,7887.5,FALSE
19,Nitratos,5600,1787.5,7887.5,FALSE
20,Nitratos,5700,1787.5,7887.5,FALSE
21,Nitratos,4500,1787.5,7887.5,FALSE
22,Nitratos,4600,1787.5,7887.5,FALSE
23,Nitratos,5800,1787.5,7887.5,FALSE
24,Nitratos,5600,1787.5,7887.5,FALSE
25,Nitratos,5000,1787.5,7887.5,FALSE
26,Nitratos,4600,1787.5,7887.5,FALSE
27,Nitratos,4000,1787.5,7887.5,FALSE
28,Nitratos,3600,1787.5,7887.5,FALSE
29,Nitratos,3600,1787.5,7887.5,FALSE
30,Nitratos,2200,1787.5,7887.5,FALSE
31,Nitratos,5800,1787.5,7887.5,FALSE
32,Nitratos,5200,1787.5,7887.5,FALSE
33,Nitratos,5200,1787.5,7887.5,FALSE
34,Nitratos,5800,1787.5,7887.5,FALSE
35,Nitratos,5600,1787.5,7887.5,FALSE
36,Nitratos,4500,1787.5,7887.5,FALSE
37,Nitratos,3700,1787.5,7887.5,FALSE
38,Nitratos,4000,1787.5,7887.5,FALSE
39,Nitratos,5500,1787.5,7887.5,FALSE
40,Nitratos,6700,1787.5,7887.5,FALSE
41,Nitratos,2900,1787.5,7887.5,FALSE
42,Nitratos,5400,1787.5,7887.5,FALSE
43,Nitratos,3400,1787.5,7887.5,FALSE
44,Nitratos,4800,1787.5,7887.5,FALSE
45,Nitratos,4400,1787.5,7887.5,FALSE
46,Nitratos,5800,1787.5,7887.5,FALSE
47,Nitratos,4800,1787.5,7887.5,FALSE
48,Nitratos,5100,1787.5,7887.5,FALSE
49,Nitratos,4300,1787.5,7887.5,FALSE
50,Nitratos,3600,1787.5,7887.5,FALSE
51,Nitratos,4800,1787.5,7887.5,FALSE
52,Nitratos,5900,1787.5,7887.5,FALSE
53,Nitratos,5700,1787.5,7887.5,FALSE
54,Nitratos,6000,1787.5,7887.5,FALSE
55,Nitratos,4800,1787.5,7887.5,FALSE
56,Nitratos,3600,1787.5,7887.5,FALSE
1,Potasio_savia,4100,3550,5550,FALSE
2,Potasio_savia,4100,3550,5550,FALSE
3,Potasio_savia,4200,3550,5550,FALSE
4,Potasio_savia,4400,3550,5550,FALSE
5,Potasio_savia,4400,3550,5550,FALSE
6,Potasio_savia,4100,3550,5550,FALSE
7,Potasio_savia,4400,3550,5550,FALSE
8,Potasio_savia,4400,3550,5550,FALSE
9,Potasio_savia,4200,3550,5550,FALSE
10,Potasio_savia,4700,3550,5550,FALSE
11,Potasio_savia,4500,3550,5550,FALSE
12,Potasio_savia,4900,3550,5550,FALSE
13,Potasio_savia,4300,3550,5550,FALSE
14,Potasio_savia,4800,3550,5550,FALSE
15,Potasio_savia,4800,3550,5550,FALSE
16,Potasio_savia,5700,3550,5550,TRUE
17,Potasio_savia,4700,3550,5550,FALSE
18,Potasio_savia,5600,3550,5550,TRUE
19,Potasio_savia,5600,3550,5550,TRUE
20,Potasio_savia,5000,3550,5550,FALSE
21,Potasio_savia,5600,3550,5550,TRUE
22,Potasio_savia,4700,3550,5550,FALSE
23,Potasio_savia,4400,3550,5550,FALSE
24,Potasio_savia,4400,3550,5550,FALSE
25,Potasio_savia,4300,3550,5550,FALSE
26,Potasio_savia,4400,3550,5550,FALSE
27,Potasio_savia,4200,3550,5550,FALSE
28,Potasio_savia,3200,3550,5550,TRUE
29,Potasio_savia,4100,3550,5550,FALSE
30,Potasio_savia,3700,3550,5550,FALSE
31,Potasio_savia,4600,3550,5550,FALSE
32,Potasio_savia,4200,3550,5550,FALSE
33,Potasio_savia,4700,3550,5550,FALSE
34,Potasio_savia,4400,3550,5550,FALSE
35,Potasio_savia,4300,3550,5550,FALSE
36,Potasio_savia,5000,3550,5550,FALSE
37,Potasio_savia,5100,3550,5550,FALSE
38,Potasio_savia,4300,3550,5550,FALSE
39,Potasio_savia,4000,3550,5550,FALSE
40,Potasio_savia,4500,3550,5550,FALSE
41,Potasio_savia,5200,3550,5550,FALSE
42,Potasio_savia,5100,3550,5550,FALSE
43,Potasio_savia,5000,3550,5550,FALSE
