Funcion,r,Observado,Limite_inferior,Limite_superior,Posicion
L,1.920176091771225,0.9068838775658397,1.5577923593825165,2.5355056783926737,Bajo_envolvente
L,1.93541558456306,0.9068838775658397,1.5577923593825165,2.570385850598283,Bajo_envolvente
L,1.9506550773548952,0.9068838775658397,1.6099807869053155,2.5863661810772958,Bajo_envolvente
L,1.9658945701467303,0.9068838775658397,1.62672290185056,2.60446471940568,Bajo_envolvente
L,1.9811340629385654,0.9068838775658397,1.6372196999215285,2.6576991930287304,Bajo_envolvente
L,1.9963735557304005,0.9068838775658397,1.6372196999215285,2.674782405114486,Bajo_envolvente
L,2.0116130485222357,0.9068838775658397,1.6372196999215285,2.674782405114486,Bajo_envolvente
L,2.0268525413140708,0.9068838775658397,1.6372196999215285,2.674782405114486,Bajo_envolvente
L,2.042092034105906,0.9068838775658397,1.6530797668189121,2.6901247885571715,Bajo_envolvente
L,2.057331526897741,1.0371462255928778,1.6803026912024241,2.7074990917998787,Bajo_envolvente
L,2.072571019689576,1.0371462255928778,1.6922532311116647,2.742249554926408,Bajo_envolvente
L,2.0878105124814113,1.0371462255928778,1.7200625360560216,2.757597492404995,Bajo_envolvente
L,2.1030500052732464,1.0371462255928778,1.7200625360560216,2.7906093963079868,Bajo_envolvente
L,2.1182894980650815,1.0371462255928778,1.7200625360560216,2.807560316804971,Bajo_envolvente
L,2.1335289908569166,1.0371462255928778,1.746683319064369,2.807560316804971,Bajo_envolvente
L,2.1487684836487517,1.0371462255928778,1.770648544343478,2.8415310178758633,Bajo_envolvente
L,2.164007976440587,1.0371462255928778,1.770648544343478,2.858299892514912,Bajo_envolvente
L,2.179247469232422,1.1527819477829502,1.797647726678179,2.9049643947925854,Bajo_envolvente
L,2.194486962024257,1.1527819477829502,1.8244654759032255,2.9214994808587935,Bajo_envolvente
L,2.209726454816092,1.2238173214915367,1.8244654759032255,2.9528654363682976,Bajo_envolvente
L,2.2249659476079273,1.2238173214915367,1.8244654759032255,2.9686570929197655,Bajo_envolvente
L,2.2402054403997624,1.2238173214915367,1.8244654759032255,2.9843651896822427,Bajo_envolvente
L,2.2554449331915976,1.2238173214915367,1.851460514979212,2.9843651896822427,Bajo_envolvente
L,2.2706844259834327,1.2238173214915367,1.873816452824399,2.9843651896822427,Bajo_envolvente
L,2.285923918775268,1.2238173214915367,1.873816452824399,2.998266684678016,Bajo_envolvente
L,2.301163411567103,1.3578112460865415,1.8987082111274654,3.0128802874335032,Bajo_envolvente
L,2.316402904358938,1.4200748754228667,1.921701689898343,3.0552745387531073,Bajo_envolvente
