X,Y,Densidad_nodos_m2
587186.3434450105,517556.0477753958,0.1504776182598416
587186.3434450105,517556.15181033325,0.15054049381534473
587186.3434450105,517556.2558452707,0.1505182829112031
587186.3434450105,517556.35988020815,0.1504066682641932
587186.3434450105,517556.4639151456,0.1502016968718774
587186.3434450105,517556.56795008306,0.1498998932970387
587186.3434450105,517556.6719850205,0.14949836167802336
587186.3434450105,517556.77601995796,0.1489948744156169
587186.3434450105,517556.8800548954,0.14838794587686305
587186.3434450105,517556.98408983287,0.14767688986382743
587186.3434450105,517557.0881247703,0.14686186000959628
587186.3434450105,517557.1921597078,0.14594387267464476
587186.3434450105,517557.2961946452,0.1449248123151249
587186.3434450105,517557.4002295827,0.14380741967288255
587186.3434450105,517557.50426452013,0.14259526348860305
587186.3434450105,517557.6082994576,0.14129269675918799
587186.3434450105,517557.71233439504,0.1399047988441487
587186.3434450105,517557.8163693325,0.13843730497043516
587186.3434450105,517557.92040426994,0.13689652488858023
587186.3434450105,517558.0244392074,0.1352892525940361
587186.3434450105,517558.12847414485,0.13362266914552026
587186.3434450105,517558.2325090823,0.13190424068709147
587186.4472492347,517555.631635646,0.15101183224878265
587186.4472492347,517555.73567058344,0.15129482959113075
587186.4472492347,517555.8397055209,0.1515135832221449
587186.4472492347,517555.94374045834,0.15166413878819854
587186.4472492347,517556.0477753958,0.15174233076099544
587186.4472492347,517556.15181033325,0.1517439140139631
587186.4472492347,517556.2558452707,0.1516646968006697
587186.4472492347,517556.35988020815,0.151500671712722
587186.4472492347,517556.4639151456,0.15124814137124654
587186.4472492347,517556.56795008306,0.15090383586030484
587186.4472492347,517556.6719850205,0.1504650192303371
587186.4472492347,517556.77601995796,0.14992958277191848
587186.4472492347,517556.8800548954,0.1492961231712914
587186.4472492347,517556.98408983287,0.1485640040959888
587186.4472492347,517557.0881247703,0.1477334002085959
587186.4472492347,517557.1921597078,0.14680532305738117
587186.4472492347,517557.2961946452,0.145781628733377
587186.4472492347,517557.4002295827,0.14466500760496706
587186.4472492347,517557.50426452013,0.14345895683498225
587186.4472492347,517557.6082994576,0.14216773674491337
587186.4472492347,517557.71233439504,0.14079631241067192
587186.4472492347,517557.8163693325,0.13935028215015496
587186.4472492347,517557.92040426994,0.13783579479167557
587186.4472492347,517558.0244392074,0.13625945779212142
587186.4472492347,517558.12847414485,0.1346282384034691
587186.4472492347,517558.2325090823,0.13294936016582976
587186.4472492347,517558.33654401975,0.1312301970350939
587186.5510534588,517555.52760070853,0.1522039452934859
587186.5510534588,517555.631635646,0.15246614694192248
587186.5510534588,517555.73567058344,0.15266958452232304
587186.5510534588,517555.8397055209,0.1528113373639702
587186.5510534588,517555.94374045834,0.1528880856256485
587186.5510534588,517556.0477753958,0.152896234087931
587186.5510534588,517556.15181033325,0.15283204251578536
587186.5510534588,517556.2558452707,0.1526917589040924
587186.5510534588,517556.35988020815,0.15247175196793314
587186.5510534588,517556.4639151456,0.15216863938872482
587186.5510534588,517556.56795008306,0.15177940856634203
587186.5510534588,517556.6719850205,0.15130152694396926
587186.5510534588,517556.77601995796,0.15073303935288795
587186.5510534588,517556.8800548954,0.15007265025413746
587186.5510534588,517556.98408983287,0.1493197892182175
587186.5510534588,517557.0881247703,0.1484746584681898
587186.5510534588,517557.1921597078,0.14753826180188623
587186.5510534588,517557.2961946452,0.14651241469263965
587186.5510534588,517557.4002295827,0.14539973583355104
587186.5510534588,517557.50426452013,0.14420362082772106
587186.5510534588,517557.6082994576,0.14292819912757135
587186.5510534588,517557.71233439504,0.14157827568336206
587186.5510534588,517557.8163693325,0.14015925906875573
587186.5510534588,517557.92040426994,0.13867707810570543
587186.5510534588,517558.0244392074,0.13713808920930376
587186.5510534588,517558.12847414485,0.1355489768139987
587186.5510534588,517558.2325090823,0.13391664932536823
587186.5510534588,517558.33654401975,0.13224813306710728
587186.5510534588,517558.4405789572,0.13055046666259626
587186.654857683,517555.4235657711,0.15342419222582857
587186.654857683,517555.52760070853,0.15365523958483238
587186.654857683,517555.631635646,0.153830971425401
587186.654857683,517555.73567058344,0.1539498121310051
587186.654857683,517555.8397055209,0.15400961843779823
587186.654857683,517555.94374045834,0.15400778672499338
587186.654857683,517556.0477753958,0.15394137233826563
587186.654857683,517556.15181033325,0.1538072172246196
587186.654857683,517556.2558452707,0.15360208204342338
587186.654857683,517556.35988020815,0.15332277892237048
587186.654857683,517556.4639151456,0.15296630114295384
587186.654857683,517556.56795008306,0.15252994625821273
587186.654857683,517556.6719850205,0.1520114294538804
587186.654857683,517556.77601995796,0.15140898434841682
587186.654857683,517556.8800548954,0.15072144887220734
587186.654857683,517556.98408983287,0.14994833435522142
587186.654857683,517557.0881247703,0.14908987646936844
587186.654857683,517557.1921597078,0.1481470672008586
587186.654857683,517557.2961946452,0.14712166755416864
587186.654857683,517557.4002295827,0.14601620119910796
587186.654857683,517557.50426452013,0.14483392975381748
587186.654857683,517557.6082994576,0.1435788108388653
587186.654857683,517557.71233439504,0.14225544043217075
587186.654857683,517557.8163693325,0.1408689813943227
587186.654857683,517557.92040426994,0.1394250803136888
